Date,TotalBuy,TotalSell
06/01/2023 00:00:00,134889,255258
05/01/2023 00:00:00,3287,15524
04/01/2023 00:00:00,99.225,0
03/01/2023 00:00:00,0,44604
02/01/2023 00:00:00,357350,139754
01/01/2023 00:00:00,51,0
12/01/2022 00:00:00,0,7449
11/01/2022 00:00:00,3456,8483
10/01/2022 00:00:00,58,0
09/01/2022 00:00:00,0,56
08/01/2022 00:00:00,4936,23675
07/01/2022 00:00:00,54,0
06/01/2022 00:00:00,0,433
05/01/2022 00:00:00,5937,9661
04/01/2022 00:00:00,46,0
03/01/2022 00:00:00,0,22558
02/01/2022 00:00:00,141517,44844
01/01/2022 00:00:00,34,3041
12/01/2021 00:00:00,2335,0
11/01/2021 00:00:00,14175,476
10/01/2021 00:00:00,38,0
09/01/2021 00:00:00,0,57
08/01/2021 00:00:00,14120,15733
07/01/2021 00:00:00,41,0
06/01/2021 00:00:00,0,268
05/01/2021 00:00:00,6229,21174
04/01/2021 00:00:00,78,0
03/01/2021 00:00:00,154647,5778
02/01/2021 00:00:00,32717,72275
01/01/2021 00:00:00,58,0
11/01/2020 00:00:00,0,3125
10/01/2020 00:00:00,74,0
08/01/2020 00:00:00,2432,4864
07/01/2020 00:00:00,79,0
06/01/2020 00:00:00,27267,49272
05/01/2020 00:00:00,54221,2559
04/01/2020 00:00:00,92,0
03/01/2020 00:00:00,6868,16936
02/01/2020 00:00:00,223228,99460
01/01/2020 00:00:00,33,0
11/01/2019 00:00:00,1917,3834
10/01/2019 00:00:00,39,0
09/01/2019 00:00:00,213,426
08/01/2019 00:00:00,5926,11852
07/01/2019 00:00:00,252,426
06/01/2019 00:00:00,0,5673
05/01/2019 00:00:00,9215,2878
04/01/2019 00:00:00,47,0
03/01/2019 00:00:00,7956,47396
02/01/2019 00:00:00,320554,67123
01/01/2019 00:00:00,21,0
10/01/2018 00:00:00,18,0
08/01/2018 00:00:00,15768,0
07/01/2018 00:00:00,18,256
06/01/2018 00:00:00,0,5670
05/01/2018 00:00:00,6175,4133
04/01/2018 00:00:00,21,0
03/01/2018 00:00:00,0,31346
02/01/2018 00:00:00,367273,50610
01/01/2018 00:00:00,17,0
12/01/2017 00:00:00,38302,18378
11/01/2017 00:00:00,5587,0
10/01/2017 00:00:00,20,0
07/01/2017 00:00:00,23,178
06/01/2017 00:00:00,0,9212
05/01/2017 00:00:00,14971,1765
04/01/2017 00:00:00,156,221
03/01/2017 00:00:00,15000,7629
