Date,TotalBuy,TotalSell
06/01/2023 00:00:00,22166,139190
05/01/2023 00:00:00,42074,25000
03/01/2023 00:00:00,459961,140958
02/01/2023 00:00:00,361334,811963
01/01/2023 00:00:00,0,3500
12/01/2022 00:00:00,0,23939
08/01/2022 00:00:00,161081,371145
07/01/2022 00:00:00,0,3500
06/01/2022 00:00:00,2852,192033
05/01/2022 00:00:00,85857,88355288
03/01/2022 00:00:00,582588,103254
11/01/2021 00:00:00,0,30622970
09/01/2021 00:00:00,0,41929
08/01/2021 00:00:00,1498890,714187
06/01/2021 00:00:00,9209,9209
05/01/2021 00:00:00,273799,458248
03/01/2021 00:00:00,496316,7485
12/01/2020 00:00:00,90000,0
11/01/2020 00:00:00,13849315,29169566.131
06/01/2020 00:00:00,457470,0
05/01/2020 00:00:00,71003,0
03/01/2020 00:00:00,316946,0
12/01/2019 00:00:00,0,13294
09/01/2019 00:00:00,3812175,25068657
08/01/2019 00:00:00,3747241,0
12/01/2018 00:00:00,0,99
08/01/2018 00:00:00,65892,41330628
04/01/2018 00:00:00,29981,0
03/01/2018 00:00:00,525356,0
02/01/2018 00:00:00,464,196
05/01/2017 00:00:00,0,177333
