Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,7550
05/01/2023 00:00:00,4250,16500
04/01/2023 00:00:00,0,2500
03/01/2023 00:00:00,18548,22411
02/01/2023 00:00:00,10000,20841
01/01/2023 00:00:00,3520,0
12/01/2022 00:00:00,0,4171
11/01/2022 00:00:00,4250,15181
10/01/2022 00:00:00,0,850
09/01/2022 00:00:00,3500,7000
08/01/2022 00:00:00,5750,17238
06/01/2022 00:00:00,0,5590
05/01/2022 00:00:00,4000,15500
03/01/2022 00:00:00,15557,16372
02/01/2022 00:00:00,9900,19800
01/01/2022 00:00:00,3528,0
12/01/2021 00:00:00,0,480
11/01/2021 00:00:00,4000,21238
10/01/2021 00:00:00,0,220
09/01/2021 00:00:00,0,500
08/01/2021 00:00:00,9000,25500
07/01/2021 00:00:00,80759,80759
06/01/2021 00:00:00,0,7025
05/01/2021 00:00:00,5000,17500
03/01/2021 00:00:00,19626,18100
02/01/2021 00:00:00,4000,8000
01/01/2021 00:00:00,2400,0
12/01/2020 00:00:00,4000,20281
11/01/2020 00:00:00,27500,67300
09/01/2020 00:00:00,0,7500
08/01/2020 00:00:00,9000,18000
06/01/2020 00:00:00,12603,18889
05/01/2020 00:00:00,18000,86457
03/01/2020 00:00:00,17700,28000
02/01/2020 00:00:00,8750,17500
01/01/2020 00:00:00,6678,4500
12/01/2019 00:00:00,2250,11500
11/01/2019 00:00:00,44943,82500
10/01/2019 00:00:00,2250,7500
09/01/2019 00:00:00,2250,7500
08/01/2019 00:00:00,12250,27500
07/01/2019 00:00:00,2250,7500
06/01/2019 00:00:00,20149,12927
05/01/2019 00:00:00,12250,34722
04/01/2019 00:00:00,2250,5500
03/01/2019 00:00:00,12250,25500
02/01/2019 00:00:00,0,1000
01/01/2019 00:00:00,7020,1000
12/01/2018 00:00:00,0,1000
11/01/2018 00:00:00,10000,26000
10/01/2018 00:00:00,0,1000
09/01/2018 00:00:00,13750,28500
08/01/2018 00:00:00,10000,27000
07/01/2018 00:00:00,0,1000
06/01/2018 00:00:00,41666,36872
03/01/2018 00:00:00,13750,27500
02/01/2018 00:00:00,46279,46279
01/01/2018 00:00:00,6666,0
11/01/2017 00:00:00,0,36904
09/01/2017 00:00:00,0,613785
05/01/2017 00:00:00,0,4557774
12/01/2016 00:00:00,0,3864000
08/01/2016 00:00:00,35733,2590000
