Date,TotalBuy,TotalSell
05/01/2023 00:00:00,45587,29575
03/01/2023 00:00:00,247549,37887
01/01/2023 00:00:00,9670,9670
12/01/2022 00:00:00,0,4000
11/01/2022 00:00:00,26490,2290
09/01/2022 00:00:00,30434,8830
08/01/2022 00:00:00,16786,17365
07/01/2022 00:00:00,4783,0
06/01/2022 00:00:00,10881,822
05/01/2022 00:00:00,10209,10209
03/01/2022 00:00:00,0,4000000
02/01/2022 00:00:00,2258913,40508
01/01/2022 00:00:00,12500200,12500000
12/01/2021 00:00:00,9129,2208
11/01/2021 00:00:00,200,0
10/01/2021 00:00:00,200,0
09/01/2021 00:00:00,1692,0
08/01/2021 00:00:00,200,0
07/01/2021 00:00:00,200,0
06/01/2021 00:00:00,200,0
05/01/2021 00:00:00,200,0
12/01/2020 00:00:00,6999,0
10/01/2020 00:00:00,4856,0
09/01/2020 00:00:00,114,0
05/01/2020 00:00:00,100000,0
03/01/2020 00:00:00,300000,0
12/01/2019 00:00:00,118110,0
11/01/2019 00:00:00,40000,25000
08/01/2019 00:00:00,45000,0
06/01/2019 00:00:00,55000,0
05/01/2019 00:00:00,50000,0
03/01/2019 00:00:00,0,445200
02/01/2019 00:00:00,0,107114
12/01/2018 00:00:00,7689393,8288451
11/01/2018 00:00:00,16598000,10832562
06/01/2017 00:00:00,0,40000
04/01/2017 00:00:00,0,629472
