Date,TotalBuy,TotalSell
06/01/2023 00:00:00,517.893,0
05/01/2023 00:00:00,194880,321106
04/01/2023 00:00:00,52024,129048
03/01/2023 00:00:00,1319841.6533000004,510197
12/01/2022 00:00:00,50632.3396,98440
11/01/2022 00:00:00,21.512,0
09/01/2022 00:00:00,1352.1553999999999,6309
07/01/2022 00:00:00,50531,53413
06/01/2022 00:00:00,1084.0683999999999,0
05/01/2022 00:00:00,194880,300449
04/01/2022 00:00:00,95405,229093
03/01/2022 00:00:00,1652897.2813,1466446
12/01/2021 00:00:00,64741.28530000001,169447
10/01/2021 00:00:00,34000,88196
09/01/2021 00:00:00,48767.0933,43846
08/01/2021 00:00:00,4062,0
07/01/2021 00:00:00,60449,78922
06/01/2021 00:00:00,52081.2088,115865
05/01/2021 00:00:00,182880,294538
04/01/2021 00:00:00,24000,55774
03/01/2021 00:00:00,1662790.4447,577293
01/01/2021 00:00:00,17516,26000
12/01/2020 00:00:00,49089.3567,88223
09/01/2020 00:00:00,103182.47980000002,158238
08/01/2020 00:00:00,14500,47238
07/01/2020 00:00:00,161599,453410
06/01/2020 00:00:00,154686.6011,239699
05/01/2020 00:00:00,0,15000
04/01/2020 00:00:00,0,2850
03/01/2020 00:00:00,1789963.193,336719
01/01/2020 00:00:00,2600,5200
12/01/2019 00:00:00,13598.219200000001,23068
11/01/2019 00:00:00,28400,50416
09/01/2019 00:00:00,101660.27279999999,243645
08/01/2019 00:00:00,0,4250
07/01/2019 00:00:00,297468,333051
06/01/2019 00:00:00,2204.2949,0
05/01/2019 00:00:00,10916,21832
04/01/2019 00:00:00,147500,253121
03/01/2019 00:00:00,1832574.8252999997,143855
02/01/2019 00:00:00,0,1780
01/01/2019 00:00:00,3048,23922
12/01/2018 00:00:00,29278.471999999998,158051
11/01/2018 00:00:00,27850,44257
10/01/2018 00:00:00,26000,50261
09/01/2018 00:00:00,1717.5259000000003,33212
07/01/2018 00:00:00,2053098,216844
06/01/2018 00:00:00,131457.71549999996,226478
03/01/2018 00:00:00,94969.73779999997,32765
02/01/2018 00:00:00,0,83300
01/01/2018 00:00:00,70200,144400
12/01/2017 00:00:00,60619.82370000001,108025
09/01/2017 00:00:00,1712.0155999999997,8800
07/01/2017 00:00:00,2900781,153667
06/01/2017 00:00:00,13278.7717,16200
05/01/2017 00:00:00,17600,35200
04/01/2017 00:00:00,40400,92939
03/01/2017 00:00:00,10898.4063,17475
