Date,TotalBuy,TotalSell
06/01/2023 00:00:00,231250,22263
05/01/2023 00:00:00,134756,9402
03/01/2023 00:00:00,13500,26688
02/01/2023 00:00:00,276113,186325
01/01/2023 00:00:00,60000,120000
12/01/2022 00:00:00,13500,27528
11/01/2022 00:00:00,127500,226196
09/01/2022 00:00:00,13500,26714
07/01/2022 00:00:00,74055.5,113272
06/01/2022 00:00:00,13500,26559
05/01/2022 00:00:00,47409,1254239
03/01/2022 00:00:00,13500,26602
02/01/2022 00:00:00,324563,260856
01/01/2022 00:00:00,62573,121959
12/01/2021 00:00:00,31500,69811
11/01/2021 00:00:00,217500,320085
09/01/2021 00:00:00,9000,17719
08/01/2021 00:00:00,78750,157500
06/01/2021 00:00:00,9000,17786
05/01/2021 00:00:00,75652,105127
03/01/2021 00:00:00,31500,362915
02/01/2021 00:00:00,202034,141471
01/01/2021 00:00:00,105000,210000
12/01/2020 00:00:00,127500,245127
06/01/2020 00:00:00,7500,14994
05/01/2020 00:00:00,41673,82045
03/01/2020 00:00:00,7500,14839
02/01/2020 00:00:00,233701,204308
01/01/2020 00:00:00,180000,360000
12/01/2019 00:00:00,52500,105000
11/01/2019 00:00:00,45000,90000
09/01/2019 00:00:00,7500,16626
08/01/2019 00:00:00,3477,5328
06/01/2019 00:00:00,48000,98037
05/01/2019 00:00:00,77122,105591
04/01/2019 00:00:00,0,4767
03/01/2019 00:00:00,36000,83415.8
02/01/2019 00:00:00,267090,235987
01/01/2019 00:00:00,225000,450000
12/01/2018 00:00:00,7856.1,14395
11/01/2018 00:00:00,6000,12000
09/01/2018 00:00:00,138844.7,214646
08/01/2018 00:00:00,3467,6934
07/01/2018 00:00:00,2500000,0
06/01/2018 00:00:00,7854.52,14931
05/01/2018 00:00:00,30225,85705
03/01/2018 00:00:00,7835.8,14723
02/01/2018 00:00:00,818842.27,132134
01/01/2018 00:00:00,180000,360000
12/01/2017 00:00:00,19004.70000000001,33000
11/01/2017 00:00:00,302728,273000
10/01/2017 00:00:00,0,1394935
09/01/2017 00:00:00,198189.5,0
08/01/2017 00:00:00,65504,0
07/01/2017 00:00:00,1500,3000
06/01/2017 00:00:00,266.8000000000002,0
05/01/2017 00:00:00,36111,12670
03/01/2017 00:00:00,1752.2,4503.4
