Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,16740
05/01/2023 00:00:00,21563,10040
04/01/2023 00:00:00,53,53
03/01/2023 00:00:00,0,19260
02/01/2023 00:00:00,77041,46026
01/01/2023 00:00:00,85683,45246
12/01/2022 00:00:00,59,6642
11/01/2022 00:00:00,17358,33024
10/01/2022 00:00:00,54,6197
09/01/2022 00:00:00,18442,32537
08/01/2022 00:00:00,0,6143
07/01/2022 00:00:00,54,6197
06/01/2022 00:00:00,53,6143
05/01/2022 00:00:00,17963,14490
04/01/2022 00:00:00,54,54
03/01/2022 00:00:00,37,0
02/01/2022 00:00:00,125373,28550
01/01/2022 00:00:00,70795,48593
12/01/2021 00:00:00,29,0
11/01/2021 00:00:00,14320,3282
10/01/2021 00:00:00,54,54
09/01/2021 00:00:00,32321,40338
07/01/2021 00:00:00,54,54
05/01/2021 00:00:00,17298,11747
04/01/2021 00:00:00,54,54
03/01/2021 00:00:00,0,41500
02/01/2021 00:00:00,10684,4663
01/01/2021 00:00:00,140659,28492
11/01/2020 00:00:00,5458,3126
10/01/2020 00:00:00,54,54
09/01/2020 00:00:00,12278,17634
08/01/2020 00:00:00,5714,8057
07/01/2020 00:00:00,54,54
06/01/2020 00:00:00,1364,119
05/01/2020 00:00:00,12713,5665
04/01/2020 00:00:00,54,54
02/01/2020 00:00:00,34057,14850
01/01/2020 00:00:00,261093,20297
11/01/2019 00:00:00,14198,0
09/01/2019 00:00:00,45,58
05/01/2019 00:00:00,12982,0
02/01/2019 00:00:00,147005,76834
01/01/2019 00:00:00,63137,32390
11/01/2018 00:00:00,13121,3973
09/01/2018 00:00:00,46,139
05/01/2018 00:00:00,7966,6415
02/01/2018 00:00:00,343997,374332
01/01/2018 00:00:00,51547,72900
12/01/2017 00:00:00,0,205
11/01/2017 00:00:00,14391,7188
10/01/2017 00:00:00,332,332
09/01/2017 00:00:00,4531,16023
07/01/2017 00:00:00,333,333
06/01/2017 00:00:00,220,0
05/01/2017 00:00:00,10347,2365
04/01/2017 00:00:00,7256,7256
03/01/2017 00:00:00,0,22632
02/01/2017 00:00:00,0,73716
