Date,TotalBuy,TotalSell
03/01/2023 00:00:00,14967,28785
02/01/2023 00:00:00,139214,86210
12/01/2022 00:00:00,8961,991
09/01/2022 00:00:00,71,0
07/01/2022 00:00:00,0,117829
06/01/2022 00:00:00,1188,0
03/01/2022 00:00:00,146218,93084
12/01/2021 00:00:00,17206,2522
09/01/2021 00:00:00,70,0
06/01/2021 00:00:00,71,663
05/01/2021 00:00:00,0,3000
03/01/2021 00:00:00,107191,247053
02/01/2021 00:00:00,0,53431
12/01/2020 00:00:00,7113,7000
11/01/2020 00:00:00,0,9319
09/01/2020 00:00:00,196,9347
08/01/2020 00:00:00,0,48978
07/01/2020 00:00:00,0,25100
06/01/2020 00:00:00,301,0
05/01/2020 00:00:00,0,53702
03/01/2020 00:00:00,221546,94052
12/01/2019 00:00:00,13784,9250
11/01/2019 00:00:00,0,18400
09/01/2019 00:00:00,212,29847
08/01/2019 00:00:00,0,25000
06/01/2019 00:00:00,214,3500
05/01/2019 00:00:00,0,10000
04/01/2019 00:00:00,0,36800
03/01/2019 00:00:00,166355,104894
01/01/2019 00:00:00,45,16670
12/01/2018 00:00:00,17272,17326
11/01/2018 00:00:00,1000,0
09/01/2018 00:00:00,194,0
06/01/2018 00:00:00,2742,0
04/01/2018 00:00:00,0,25000
03/01/2018 00:00:00,230813,89432
01/01/2018 00:00:00,0,25000
12/01/2017 00:00:00,6993,700
11/01/2017 00:00:00,0,43101
10/01/2017 00:00:00,0,25000
09/01/2017 00:00:00,68,3500
08/01/2017 00:00:00,0,25000
07/01/2017 00:00:00,0,10000
06/01/2017 00:00:00,932,0
04/01/2017 00:00:00,0,10000
03/01/2017 00:00:00,129942,35985
01/01/2017 00:00:00,0,10000
12/01/2016 00:00:00,11124,3300
11/01/2016 00:00:00,3000,4500
