Date,TotalBuy,TotalSell
06/01/2023 00:00:00,51186,24348
03/01/2023 00:00:00,364014,47464
02/01/2023 00:00:00,46408,67985
12/01/2022 00:00:00,9628,3122
09/01/2022 00:00:00,2465,1088
06/01/2022 00:00:00,30413,16777
04/01/2022 00:00:00,0,1000
03/01/2022 00:00:00,220778,60364
02/01/2022 00:00:00,0,1000
01/01/2022 00:00:00,0,1000
12/01/2021 00:00:00,2321,6685
11/01/2021 00:00:00,1000,3981
10/01/2021 00:00:00,0,1000
09/01/2021 00:00:00,741,2090
08/01/2021 00:00:00,0,1000
06/01/2021 00:00:00,38409,28730
05/01/2021 00:00:00,8941,22474
03/01/2021 00:00:00,224965,73993
12/01/2020 00:00:00,4693,1735
11/01/2020 00:00:00,16744,24614
09/01/2020 00:00:00,1040,788
08/01/2020 00:00:00,573,843
06/01/2020 00:00:00,39331,26015
05/01/2020 00:00:00,16971,24939
03/01/2020 00:00:00,430189,54660
02/01/2020 00:00:00,0,1000
01/01/2020 00:00:00,0,1000
12/01/2019 00:00:00,27,1000
11/01/2019 00:00:00,16745,29248
10/01/2019 00:00:00,59436,88883
09/01/2019 00:00:00,2061,2943
08/01/2019 00:00:00,605,11253
07/01/2019 00:00:00,0,1000
06/01/2019 00:00:00,26270,19421
05/01/2019 00:00:00,18244,24444
03/01/2019 00:00:00,208170,32794
02/01/2019 00:00:00,0,1500
01/01/2019 00:00:00,0,3450
12/01/2018 00:00:00,13175,22134
11/01/2018 00:00:00,33490,9109
10/01/2018 00:00:00,0,2500
09/01/2018 00:00:00,1202,2500
08/01/2018 00:00:00,4904,12291
07/01/2018 00:00:00,0,2500
06/01/2018 00:00:00,53802,93300
05/01/2018 00:00:00,16830,40435
04/01/2018 00:00:00,0,2500
03/01/2018 00:00:00,187308,31990
02/01/2018 00:00:00,0,1000
01/01/2018 00:00:00,0,1000
12/01/2017 00:00:00,14890,1000
11/01/2017 00:00:00,16745,27184
10/01/2017 00:00:00,0,1000
09/01/2017 00:00:00,0,1000
08/01/2017 00:00:00,28452,42213
07/01/2017 00:00:00,0,1000
06/01/2017 00:00:00,0,1000
05/01/2017 00:00:00,164786,5215
04/01/2017 00:00:00,0,1000
03/01/2017 00:00:00,10418,15330
02/01/2017 00:00:00,0,2000
12/01/2016 00:00:00,6432,9454
11/01/2016 00:00:00,259041,26217
09/01/2016 00:00:00,0,885000
08/01/2016 00:00:00,43225,4000
06/01/2016 00:00:00,6045,12090
