Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,2300
05/01/2023 00:00:00,26333,5194
03/01/2023 00:00:00,0,1593974
02/01/2023 00:00:00,285018,5957094
01/01/2023 00:00:00,0,2117
10/01/2022 00:00:00,0,6500000
09/01/2022 00:00:00,37437,25187
08/01/2022 00:00:00,0,1617
07/01/2022 00:00:00,0,71641
05/01/2022 00:00:00,35665,5002106
03/01/2022 00:00:00,0,38183
02/01/2022 00:00:00,254258,55618
01/01/2022 00:00:00,0,6545
11/01/2021 00:00:00,0,4000000
09/01/2021 00:00:00,0,27833
07/01/2021 00:00:00,0,6907
05/01/2021 00:00:00,23400,1386
03/01/2021 00:00:00,11182,31742
02/01/2021 00:00:00,186228,11344
01/01/2021 00:00:00,0,16693
12/01/2020 00:00:00,99665,169665
09/01/2020 00:00:00,0,14389
08/01/2020 00:00:00,2665,0
07/01/2020 00:00:00,0,18498
05/01/2020 00:00:00,46170,1212
03/01/2020 00:00:00,0,37821
02/01/2020 00:00:00,215192,13208
01/01/2020 00:00:00,0,28101
12/01/2019 00:00:00,1366,476
11/01/2019 00:00:00,47500,92006
10/01/2019 00:00:00,2327,9074
09/01/2019 00:00:00,160000,257212
07/01/2019 00:00:00,0,31712
05/01/2019 00:00:00,42135,3133
04/01/2019 00:00:00,0,2661
03/01/2019 00:00:00,330429,52360
02/01/2019 00:00:00,0,21503
01/01/2019 00:00:00,60000,144130
12/01/2018 00:00:00,50000,77408
10/01/2018 00:00:00,23000,2661
08/01/2018 00:00:00,7803,0
07/01/2018 00:00:00,0,36040
06/01/2018 00:00:00,6780,0
05/01/2018 00:00:00,28029,6353
04/01/2018 00:00:00,70000,85490
02/01/2018 00:00:00,0,32036
01/01/2018 00:00:00,232404,122808
12/01/2017 00:00:00,7500,124153
10/01/2017 00:00:00,52554,37116
08/01/2017 00:00:00,4000,32000
07/01/2017 00:00:00,0,58697
06/01/2017 00:00:00,50000,310735
05/01/2017 00:00:00,51949,11350
