Date,TotalBuy,TotalSell
05/01/2023 00:00:00,49832,47173
02/01/2023 00:00:00,328252,293720
12/01/2022 00:00:00,50,4380
10/01/2022 00:00:00,0,7369
08/01/2022 00:00:00,10914,0
05/01/2022 00:00:00,41742,47130
04/01/2022 00:00:00,0,9812
02/01/2022 00:00:00,267903,267761
12/01/2021 00:00:00,0,2026
11/01/2021 00:00:00,5350,5350
10/01/2021 00:00:00,360,0
08/01/2021 00:00:00,14320,2932
07/01/2021 00:00:00,383,0
06/01/2021 00:00:00,0,2658
05/01/2021 00:00:00,58734,57146
04/01/2021 00:00:00,322,0
03/01/2021 00:00:00,0,5000
02/01/2021 00:00:00,312508,322915
01/01/2021 00:00:00,559,0
12/01/2020 00:00:00,48763,102829
11/01/2020 00:00:00,6400,0
08/01/2020 00:00:00,0,58704
07/01/2020 00:00:00,0,7173
06/01/2020 00:00:00,4744,6187
05/01/2020 00:00:00,106383,68371
02/01/2020 00:00:00,379510,139395
11/01/2019 00:00:00,3745,13745
06/01/2019 00:00:00,4644,0
05/01/2019 00:00:00,66760,31900
03/01/2019 00:00:00,4000,8000
02/01/2019 00:00:00,304149,47343.5
09/01/2018 00:00:00,31775,112561
08/01/2018 00:00:00,7358,7000
06/01/2018 00:00:00,88560,277183
05/01/2018 00:00:00,63902,43884
03/01/2018 00:00:00,30009,10000
02/01/2018 00:00:00,288325,31174
09/01/2017 00:00:00,30060,13209
07/01/2017 00:00:00,14517,0
05/01/2017 00:00:00,52673,21995
02/01/2017 00:00:00,424932,413092
