Date,TotalBuy,TotalSell
04/01/2023 00:00:00,0,881
03/01/2023 00:00:00,93683,34593
02/01/2023 00:00:00,47919,41218
01/01/2023 00:00:00,0,880
12/01/2022 00:00:00,3540,7256
11/01/2022 00:00:00,4881,1127.107
10/01/2022 00:00:00,0,1042
09/01/2022 00:00:00,0,741
08/01/2022 00:00:00,53188,88825
07/01/2022 00:00:00,0,741
06/01/2022 00:00:00,700,2142
05/01/2022 00:00:00,0,742
04/01/2022 00:00:00,2436,2141
03/01/2022 00:00:00,75689,61113
02/01/2022 00:00:00,82349,56622
01/01/2022 00:00:00,0,10611
12/01/2021 00:00:00,500,6125
11/01/2021 00:00:00,19776,47385
10/01/2021 00:00:00,18606,6037
09/01/2021 00:00:00,500,1741
08/01/2021 00:00:00,4464,9670
07/01/2021 00:00:00,0,742
06/01/2021 00:00:00,500,18356
05/01/2021 00:00:00,4465,9672
04/01/2021 00:00:00,0,741
03/01/2021 00:00:00,70641,85885
02/01/2021 00:00:00,69576,61345
01/01/2021 00:00:00,0,542
12/01/2020 00:00:00,15793,61684
11/01/2020 00:00:00,63604,41767
10/01/2020 00:00:00,30096,60934
09/01/2020 00:00:00,16900,30280
08/01/2020 00:00:00,5293,12002
07/01/2020 00:00:00,10873,62736
06/01/2020 00:00:00,6816,7557
05/01/2020 00:00:00,474.107,1216.107
04/01/2020 00:00:00,29966.242,59616
03/01/2020 00:00:00,112812,22531
02/01/2020 00:00:00,168367,71873
01/01/2020 00:00:00,13027.865,37951
12/01/2019 00:00:00,1333,37244
11/01/2019 00:00:00,6930,11299
10/01/2019 00:00:00,1753,44665
09/01/2019 00:00:00,25881,72415
08/01/2019 00:00:00,1410,2785
07/01/2019 00:00:00,2082,27191
05/01/2019 00:00:00,4310,2155
04/01/2019 00:00:00,7248,25067
03/01/2019 00:00:00,205598,108071
02/01/2019 00:00:00,241095,5295
12/01/2018 00:00:00,88451,0
11/01/2018 00:00:00,65684,0
08/01/2018 00:00:00,0,4638
05/01/2018 00:00:00,25122,55244
04/01/2018 00:00:00,3106,11208
03/01/2018 00:00:00,211112,127314
02/01/2018 00:00:00,312488,102879
01/01/2018 00:00:00,0,25453
11/01/2017 00:00:00,54688,118864
10/01/2017 00:00:00,0,2143
09/01/2017 00:00:00,56493,53405
07/01/2017 00:00:00,0,9147
06/01/2017 00:00:00,0,30704
05/01/2017 00:00:00,0,20047
03/01/2017 00:00:00,180437,184729
