Date,TotalBuy,TotalSell
06/01/2023 00:00:00,26640,1000
05/01/2023 00:00:00,100000,200000
04/01/2023 00:00:00,369,0
03/01/2023 00:00:00,17040,38886
02/01/2023 00:00:00,0,3256
12/01/2022 00:00:00,1732900,2507502
09/01/2022 00:00:00,900000,1602000
08/01/2022 00:00:00,0,41941
07/01/2022 00:00:00,1450788,6266
06/01/2022 00:00:00,17975,0
05/01/2022 00:00:00,300000,584763
04/01/2022 00:00:00,1200000,2136000
03/01/2022 00:00:00,1000301,1477231
02/01/2022 00:00:00,158217,342934
01/01/2022 00:00:00,0,29489
12/01/2021 00:00:00,0,16708
11/01/2021 00:00:00,0,0
10/01/2021 00:00:00,1201,0
08/01/2021 00:00:00,11500,0
06/01/2021 00:00:00,471243,718885
04/01/2021 00:00:00,57168,57168
03/01/2021 00:00:00,821600,1396172
02/01/2021 00:00:00,0,981
12/01/2020 00:00:00,72700,95544
11/01/2020 00:00:00,0,38106
06/01/2020 00:00:00,520853,786291
03/01/2020 00:00:00,32900,78614
02/01/2020 00:00:00,94390,20838
01/01/2020 00:00:00,800000,800000
12/01/2019 00:00:00,0,22844
11/01/2019 00:00:00,4500,38106
09/01/2019 00:00:00,200000,201843
08/01/2019 00:00:00,67840,135680
07/01/2019 00:00:00,170000,170000
06/01/2019 00:00:00,428685,472477
05/01/2019 00:00:00,250000,265790
03/01/2019 00:00:00,0,9378
02/01/2019 00:00:00,592669,550000
01/01/2019 00:00:00,0,85149
12/01/2018 00:00:00,1581296,2727885
11/01/2018 00:00:00,50000,111885
09/01/2018 00:00:00,50000,57000
08/01/2018 00:00:00,250000,570000
06/01/2018 00:00:00,41227,6589
03/01/2018 00:00:00,115035,74861
01/01/2018 00:00:00,0,24353
12/01/2017 00:00:00,1814505,600000
11/01/2017 00:00:00,140000,806511
09/01/2017 00:00:00,17500,35000
08/01/2017 00:00:00,0,27121
06/01/2017 00:00:00,72493,51175
05/01/2017 00:00:00,10000,20000
03/01/2017 00:00:00,470878,40380
02/01/2017 00:00:00,120000,540000
01/01/2017 00:00:00,280000,562742
