Date,TotalBuy,TotalSell
06/01/2023 00:00:00,155,6100
05/01/2023 00:00:00,69349,111113
03/01/2023 00:00:00,171,7225
02/01/2023 00:00:00,186553,46237
12/01/2022 00:00:00,6931,184998
11/01/2022 00:00:00,0,8475
09/01/2022 00:00:00,201,14731
06/01/2022 00:00:00,206,67125
05/01/2022 00:00:00,50773,130116
04/01/2022 00:00:00,0,3647
03/01/2022 00:00:00,4293,8282
02/01/2022 00:00:00,292753,122150
12/01/2021 00:00:00,89817,272631
11/01/2021 00:00:00,21000,55836
10/01/2021 00:00:00,0,11303
09/01/2021 00:00:00,36581,8894103
08/01/2021 00:00:00,37120,0
06/01/2021 00:00:00,63212,63000
05/01/2021 00:00:00,13464,793
03/01/2021 00:00:00,33773,76766
02/01/2021 00:00:00,635404,648269
01/01/2021 00:00:00,0,15
12/01/2020 00:00:00,3870,203040
11/01/2020 00:00:00,16052,75284
06/01/2020 00:00:00,37941,140709
05/01/2020 00:00:00,21450,42000
03/01/2020 00:00:00,433434,0
02/01/2020 00:00:00,518811,92846
01/01/2020 00:00:00,0,8
12/01/2019 00:00:00,324394,659964
11/01/2019 00:00:00,0,10642
09/01/2019 00:00:00,0,4866
08/01/2019 00:00:00,18291,36582
06/01/2019 00:00:00,65723,229756
05/01/2019 00:00:00,33464,60253
03/01/2019 00:00:00,677662,1665770
02/01/2019 00:00:00,171672,297266
01/01/2019 00:00:00,0,8
12/01/2018 00:00:00,520,53869
11/01/2018 00:00:00,0,17930
08/01/2018 00:00:00,1640,0
06/01/2018 00:00:00,4581,37925
05/01/2018 00:00:00,32633,21534
03/01/2018 00:00:00,9640,25062
02/01/2018 00:00:00,439138,283078
01/01/2018 00:00:00,536,9
12/01/2017 00:00:00,69213,223105
11/01/2017 00:00:00,12502,203475
09/01/2017 00:00:00,0,188732
08/01/2017 00:00:00,219,210319
06/01/2017 00:00:00,560,9894
05/01/2017 00:00:00,66893,199533
03/01/2017 00:00:00,87413,451886
02/01/2017 00:00:00,44568,253470
