Date,TotalBuy,TotalSell
06/01/2023 00:00:00,1330197,2669894
05/01/2023 00:00:00,42386,398860
03/01/2023 00:00:00,12895,30324
02/01/2023 00:00:00,957656,468992
11/01/2022 00:00:00,1322697,2602697
09/01/2022 00:00:00,1800000,0
08/01/2022 00:00:00,101510,16500
07/01/2022 00:00:00,33067,66134
06/01/2022 00:00:00,0,50
05/01/2022 00:00:00,1000000,1014523
03/01/2022 00:00:00,27273,27273
02/01/2022 00:00:00,889526,470408
12/01/2021 00:00:00,0,11872
11/01/2021 00:00:00,0,7441
08/01/2021 00:00:00,83604,33217
07/01/2021 00:00:00,0,402
06/01/2021 00:00:00,157044,157044
04/01/2021 00:00:00,629856,276507
03/01/2021 00:00:00,32619,75175
02/01/2021 00:00:00,247966,317407
01/01/2021 00:00:00,0,215
12/01/2020 00:00:00,299700,329595
11/01/2020 00:00:00,300000,320411
09/01/2020 00:00:00,30618,54347
08/01/2020 00:00:00,1238754,2547177
07/01/2020 00:00:00,171460,340846
05/01/2020 00:00:00,721119,400374
04/01/2020 00:00:00,400000,0
03/01/2020 00:00:00,14091,22531
02/01/2020 00:00:00,464296,707211
12/01/2019 00:00:00,0,28334
09/01/2019 00:00:00,149472,305255
08/01/2019 00:00:00,1217771,546460
06/01/2019 00:00:00,140842,281684
05/01/2019 00:00:00,214325,425692
03/01/2019 00:00:00,195715,390270
02/01/2019 00:00:00,146578,150000
12/01/2018 00:00:00,18839,18234
08/01/2018 00:00:00,210782,260820
05/01/2018 00:00:00,604120,421939
03/01/2018 00:00:00,4644,11788
02/01/2018 00:00:00,53212,0
12/01/2017 00:00:00,32750,66100
08/01/2017 00:00:00,56350,52550
05/01/2017 00:00:00,189000,378800
03/01/2017 00:00:00,26250,63500
02/01/2017 00:00:00,99593,52500
12/01/2016 00:00:00,0,100000
08/01/2016 00:00:00,25146,50
05/01/2016 00:00:00,20000,20000
02/01/2016 00:00:00,96478,0
01/01/2016 00:00:00,4847,0
08/01/2015 00:00:00,100000,250
