Date,TotalBuy,TotalSell
06/01/2023 00:00:00,686,0
03/01/2023 00:00:00,28,450
08/01/2022 00:00:00,805,0
06/01/2022 00:00:00,62,0
03/01/2022 00:00:00,270,75
08/01/2021 00:00:00,845,178
06/01/2021 00:00:00,528,0
08/01/2020 00:00:00,0,6120
06/01/2020 00:00:00,992,7.804
03/01/2020 00:00:00,5870,0
12/01/2019 00:00:00,0,800
08/01/2019 00:00:00,1075.804,0
05/01/2019 00:00:00,16.765,16.765
06/01/2018 00:00:00,49978,0
05/01/2018 00:00:00,1708,0
03/01/2018 00:00:00,240,0
11/01/2017 00:00:00,20000,0
03/01/2017 00:00:00,0,2000
10/01/2016 00:00:00,0,7100000
08/01/2016 00:00:00,0,13432
05/01/2015 00:00:00,13425,0
02/01/2015 00:00:00,0,456662
12/01/2014 00:00:00,0,15000
11/01/2014 00:00:00,0,4563
04/01/2014 00:00:00,14980,0
09/01/2013 00:00:00,0,1859
08/01/2013 00:00:00,0,294496
06/01/2013 00:00:00,6485,0
05/01/2013 00:00:00,0,16100
03/01/2013 00:00:00,2013,2013
12/01/2012 00:00:00,0,3806563
11/01/2012 00:00:00,0,5000
07/01/2012 00:00:00,1700,1700
05/01/2012 00:00:00,1600,1600
03/01/2012 00:00:00,2986,0
