Date,TotalBuy,TotalSell
05/01/2023 00:00:00,59.5637,0
03/01/2023 00:00:00,22328.945200000002,0
11/01/2022 00:00:00,172.4129,0
08/01/2022 00:00:00,361.0015,0
05/01/2022 00:00:00,82.1118,0
03/01/2022 00:00:00,1598.4651,0
02/01/2022 00:00:00,16085,0
11/01/2021 00:00:00,58.4574,0
08/01/2021 00:00:00,373.5527,0
06/01/2021 00:00:00,19.9654,0
05/01/2021 00:00:00,80.006,0
03/01/2021 00:00:00,1028.2305,0
02/01/2021 00:00:00,23718,0
12/01/2020 00:00:00,21.4711,350
11/01/2020 00:00:00,122.934,0
09/01/2020 00:00:00,356.7036,0
08/01/2020 00:00:00,1446.2411,0
12/01/2019 00:00:00,0,300
11/01/2019 00:00:00,59.6577,0
08/01/2019 00:00:00,375.2464,0
06/01/2019 00:00:00,7.1988,0
05/01/2019 00:00:00,63.3441,0
03/01/2019 00:00:00,1159.517,0
12/01/2018 00:00:00,0,300
11/01/2018 00:00:00,142.0223,0
08/01/2018 00:00:00,262.29110000000003,0
06/01/2018 00:00:00,2.5864,0
05/01/2018 00:00:00,330.3434,0
03/01/2018 00:00:00,1260.077,0
11/01/2017 00:00:00,0,300
09/01/2017 00:00:00,546.6674,0
06/01/2017 00:00:00,15.124,0
12/01/2016 00:00:00,198.434,0
11/01/2015 00:00:00,47.153,0
05/01/2014 00:00:00,150,0
03/01/2014 00:00:00,300,0
03/01/2013 00:00:00,182.3869,0
11/01/2012 00:00:00,300,0
08/01/2012 00:00:00,300,0
03/01/2012 00:00:00,662.4594,0
02/01/2012 00:00:00,466,0
08/01/2011 00:00:00,400,0
06/01/2011 00:00:00,200,0
05/01/2011 00:00:00,1263.021,0
03/01/2011 00:00:00,1211.1635,0
11/01/2010 00:00:00,450,0
09/01/2010 00:00:00,318.6092,0
06/01/2010 00:00:00,200,0
05/01/2010 00:00:00,300,0
03/01/2010 00:00:00,1723.0602999999999,0
03/01/2009 00:00:00,670.2764999999999,0
11/01/2008 00:00:00,588.6508,0
08/01/2008 00:00:00,1000,0
03/01/2008 00:00:00,316.6261,0
06/01/2007 00:00:00,200,0
03/01/2007 00:00:00,31.4672,0
