Date,TotalBuy,TotalSell
06/01/2023 00:00:00,6,20086
05/01/2023 00:00:00,4540,9400
04/01/2023 00:00:00,905,0
03/01/2023 00:00:00,142,34763
02/01/2023 00:00:00,44225,8540
01/01/2023 00:00:00,732,7295
12/01/2022 00:00:00,8191,1817
11/01/2022 00:00:00,256,61993
10/01/2022 00:00:00,1681,7466
09/01/2022 00:00:00,0,3468
08/01/2022 00:00:00,10000,2129
07/01/2022 00:00:00,595,10460
06/01/2022 00:00:00,10000,5374
05/01/2022 00:00:00,7875,15784
04/01/2022 00:00:00,645,13101
03/01/2022 00:00:00,10000,10311
02/01/2022 00:00:00,50030,8897
01/01/2022 00:00:00,462,8083
12/01/2021 00:00:00,11809,12980
11/01/2021 00:00:00,1000,8905
10/01/2021 00:00:00,722,5122
09/01/2021 00:00:00,0,7763
08/01/2021 00:00:00,0,7287
07/01/2021 00:00:00,938,6961
06/01/2021 00:00:00,9040,7460
05/01/2021 00:00:00,0,12655
04/01/2021 00:00:00,6061,240
03/01/2021 00:00:00,19,22842
02/01/2021 00:00:00,53259,26613
01/01/2021 00:00:00,1285,27214
12/01/2020 00:00:00,707691,609241
11/01/2020 00:00:00,286253,197899
10/01/2020 00:00:00,1598,26864
09/01/2020 00:00:00,0,29206
08/01/2020 00:00:00,0,33667
07/01/2020 00:00:00,17782,33589
06/01/2020 00:00:00,0,29471
05/01/2020 00:00:00,0,32401
03/01/2020 00:00:00,23491,118566
02/01/2020 00:00:00,20352,7129
01/01/2020 00:00:00,3069,0
12/01/2019 00:00:00,0,3160
11/01/2019 00:00:00,0,456
10/01/2019 00:00:00,2125,75
08/01/2019 00:00:00,2750,1433
07/01/2019 00:00:00,0,136
05/01/2019 00:00:00,10306,0
04/01/2019 00:00:00,1504,175
03/01/2019 00:00:00,0,6546
02/01/2019 00:00:00,27911,20323
01/01/2019 00:00:00,62017,19309
12/01/2018 00:00:00,2513,26862
11/01/2018 00:00:00,1000,1660
10/01/2018 00:00:00,966,0
09/01/2018 00:00:00,361,26413
08/01/2018 00:00:00,17000,1656
06/01/2018 00:00:00,0,39383
05/01/2018 00:00:00,3141,69213
04/01/2018 00:00:00,0,3739
03/01/2018 00:00:00,30946,43770
02/01/2018 00:00:00,382,12047
01/01/2018 00:00:00,933,325
12/01/2017 00:00:00,53,31658
11/01/2017 00:00:00,30987,68179
10/01/2017 00:00:00,1040,5440
09/01/2017 00:00:00,34898,34898
08/01/2017 00:00:00,34898,46919
06/01/2017 00:00:00,6335.411,6288
05/01/2017 00:00:00,484,5407
04/01/2017 00:00:00,0,11696.199
03/01/2017 00:00:00,1456.199,41263
02/01/2017 00:00:00,137050,114214
01/01/2017 00:00:00,1550,500
12/01/2016 00:00:00,751.731,37556
11/01/2016 00:00:00,0,35855
