Date,TotalBuy,TotalSell
05/01/2023 00:00:00,4737,0
04/01/2023 00:00:00,1567,0
02/01/2023 00:00:00,5391,0
01/01/2023 00:00:00,312188,139876
11/01/2022 00:00:00,5105,2892
10/01/2022 00:00:00,1389,0
08/01/2022 00:00:00,5076,1200
07/01/2022 00:00:00,1148,0
06/01/2022 00:00:00,10684,0
05/01/2022 00:00:00,5212,2325
04/01/2022 00:00:00,615,0
03/01/2022 00:00:00,0,16746
02/01/2022 00:00:00,6121,0
01/01/2022 00:00:00,463243,239831
12/01/2021 00:00:00,0,4776
11/01/2021 00:00:00,5601,0
10/01/2021 00:00:00,1237,0
08/01/2021 00:00:00,5491,0
07/01/2021 00:00:00,1245,0
05/01/2021 00:00:00,5285,0
04/01/2021 00:00:00,1414,10000
02/01/2021 00:00:00,6040,0
01/01/2021 00:00:00,359718,129076
11/01/2020 00:00:00,25837,0
08/01/2020 00:00:00,5442,0
05/01/2020 00:00:00,18653,0
02/01/2020 00:00:00,3616,16634
01/01/2020 00:00:00,512967,285370
11/01/2019 00:00:00,3447,0
10/01/2019 00:00:00,775,0
09/01/2019 00:00:00,0,200
08/01/2019 00:00:00,8075,7000
07/01/2019 00:00:00,750,0
06/01/2019 00:00:00,0,4000
05/01/2019 00:00:00,5275,0
04/01/2019 00:00:00,429,0
03/01/2019 00:00:00,0,2119
02/01/2019 00:00:00,3192,41777
01/01/2019 00:00:00,381864,205141
12/01/2018 00:00:00,0,10000
11/01/2018 00:00:00,2862,0
10/01/2018 00:00:00,364,0
09/01/2018 00:00:00,0,40500
08/01/2018 00:00:00,2395,0
07/01/2018 00:00:00,366,0
05/01/2018 00:00:00,2368,0
04/01/2018 00:00:00,434,0
02/01/2018 00:00:00,2356,24176
01/01/2018 00:00:00,235933,143794
11/01/2017 00:00:00,2196,0
10/01/2017 00:00:00,356,0
09/01/2017 00:00:00,0,5000
08/01/2017 00:00:00,2079,0
07/01/2017 00:00:00,1181,0
05/01/2017 00:00:00,1808,8000
04/01/2017 00:00:00,387,0
02/01/2017 00:00:00,1618,65000
01/01/2017 00:00:00,171040,121193
