Date,TotalBuy,TotalSell
06/01/2023 00:00:00,181894,0
05/01/2023 00:00:00,114792,97792
04/01/2023 00:00:00,25782,35928
03/01/2023 00:00:00,559578,3620321
02/01/2023 00:00:00,875760,664591.1400000001
01/01/2023 00:00:00,6438,12876
12/01/2022 00:00:00,32915,13833
11/01/2022 00:00:00,5000,0
09/01/2022 00:00:00,4705,0
08/01/2022 00:00:00,39371,88124.56
06/01/2022 00:00:00,3835,0
05/01/2022 00:00:00,124586,84685
04/01/2022 00:00:00,25783,35929
03/01/2022 00:00:00,699718,3728184
02/01/2022 00:00:00,889340,606361.2
12/01/2021 00:00:00,23852,0
11/01/2021 00:00:00,139832,3307164
09/01/2021 00:00:00,573856,15925458
06/01/2021 00:00:00,497537,995074
05/01/2021 00:00:00,118745,167084.65000000005
04/01/2021 00:00:00,77346,0
03/01/2021 00:00:00,41147863,6756550
02/01/2021 00:00:00,1818222,1768262.76
12/01/2020 00:00:00,0,14067
11/01/2020 00:00:00,2455,2455.19
05/01/2020 00:00:00,127017,53006.94
02/01/2020 00:00:00,725840,888304.3600000001
01/01/2020 00:00:00,344357,24595
11/01/2019 00:00:00,47016,65272.21
08/01/2019 00:00:00,0,13137
05/01/2019 00:00:00,121315,46859.35999999999
03/01/2019 00:00:00,2,0
02/01/2019 00:00:00,882274,984253.1000000002
01/01/2019 00:00:00,578808,0
11/01/2018 00:00:00,4451,0
08/01/2018 00:00:00,21767,43534
06/01/2018 00:00:00,43534,87068
05/01/2018 00:00:00,129043,183827.87000000002
04/01/2018 00:00:00,0,32962
03/01/2018 00:00:00,0,82874
02/01/2018 00:00:00,889753,1106049.91
01/01/2018 00:00:00,217411,0
12/01/2017 00:00:00,16738,33476
11/01/2017 00:00:00,0,10070
10/01/2017 00:00:00,23149,51298
08/01/2017 00:00:00,156632,398651
05/01/2017 00:00:00,170883,218444.80000000002
04/01/2017 00:00:00,216431,435212.44
03/01/2017 00:00:00,120089,240278
