Date,TotalBuy,TotalSell
05/01/2023 00:00:00,198493,175372
04/01/2023 00:00:00,14837,20676
03/01/2023 00:00:00,1714828,911587
01/01/2023 00:00:00,5865,0
11/01/2022 00:00:00,1611,27848
09/01/2022 00:00:00,84002,85868
08/01/2022 00:00:00,105537,105537
06/01/2022 00:00:00,25565,35625
05/01/2022 00:00:00,305678,397396
04/01/2022 00:00:00,55721,134794
03/01/2022 00:00:00,645564,486045
02/01/2022 00:00:00,40094,80188
01/01/2022 00:00:00,15360,14498
11/01/2021 00:00:00,0,34204422
08/01/2021 00:00:00,153422,153422
06/01/2021 00:00:00,107523,129018
05/01/2021 00:00:00,96305,54724
03/01/2021 00:00:00,631942,309951
11/01/2020 00:00:00,0,27848
05/01/2020 00:00:00,389238,240459
04/01/2020 00:00:00,118289,103452
03/01/2020 00:00:00,353687,9342
11/01/2019 00:00:00,83544,0
09/01/2019 00:00:00,7691,0
08/01/2019 00:00:00,17077,4079
06/01/2019 00:00:00,74760,19359
05/01/2019 00:00:00,144770,58433
04/01/2019 00:00:00,158345,158345
03/01/2019 00:00:00,284791,49909
01/01/2019 00:00:00,10270,0
08/01/2018 00:00:00,24432,32661
06/01/2018 00:00:00,54625,0
05/01/2018 00:00:00,103335,37578
03/01/2018 00:00:00,172509,15119
02/01/2018 00:00:00,1200,0
01/01/2018 00:00:00,1885,0
08/01/2017 00:00:00,7000,0
07/01/2017 00:00:00,20713,0
05/01/2017 00:00:00,137380,45776
04/01/2017 00:00:00,6534,6534
03/01/2017 00:00:00,20483,31920
