Date,TotalBuy,TotalSell
05/01/2023 00:00:00,834015.7948,336106
04/01/2023 00:00:00,343550,687094
03/01/2023 00:00:00,1221.4979,35
02/01/2023 00:00:00,76652,168741
01/01/2023 00:00:00,184428,167988
12/01/2022 00:00:00,1301.1361,0
11/01/2022 00:00:00,1561125,3122493
10/01/2022 00:00:00,1330490,2688758
09/01/2022 00:00:00,1342.6033,0
08/01/2022 00:00:00,156356,0
06/01/2022 00:00:00,1268.2352,0
05/01/2022 00:00:00,785113.6984,23659
03/01/2022 00:00:00,1096.8921,0
02/01/2022 00:00:00,242513,1679
12/01/2021 00:00:00,1174.3215,0
11/01/2021 00:00:00,877378,1750408
10/01/2021 00:00:00,167097,330606
09/01/2021 00:00:00,1164.9580999999998,0
06/01/2021 00:00:00,1125.1126,0
05/01/2021 00:00:00,1470893.7196,65420
03/01/2021 00:00:00,1141.4308,0
02/01/2021 00:00:00,360576,1634
12/01/2020 00:00:00,962.7139,0
11/01/2020 00:00:00,0,280000
10/01/2020 00:00:00,260421,580172
09/01/2020 00:00:00,949.3670999999999,15500
08/01/2020 00:00:00,18876,60632
07/01/2020 00:00:00,18111,54396
06/01/2020 00:00:00,1018.3629,0
05/01/2020 00:00:00,1318110.4084,55048
03/01/2020 00:00:00,2083.5383,0
02/01/2020 00:00:00,239427,0
01/01/2020 00:00:00,82548,184621
12/01/2019 00:00:00,1477.4603,0
11/01/2019 00:00:00,0,118764
10/01/2019 00:00:00,20584,28224
09/01/2019 00:00:00,1596.2819000000002,0
08/01/2019 00:00:00,38126,76252
06/01/2019 00:00:00,218320.5641,433436
05/01/2019 00:00:00,1227046.2007,165616
03/01/2019 00:00:00,426407.3914,848276
02/01/2019 00:00:00,831341,1241094
12/01/2018 00:00:00,2322.9946,0
11/01/2018 00:00:00,539540,1079080
10/01/2018 00:00:00,499092,704706
09/01/2018 00:00:00,382353.1147,767062
08/01/2018 00:00:00,29208,63416
07/01/2018 00:00:00,228091,474929
06/01/2018 00:00:00,102924.2177,234094
05/01/2018 00:00:00,1326486.8088,32752
04/01/2018 00:00:00,2972.2796,24000
03/01/2018 00:00:00,263.8114,0
02/01/2018 00:00:00,290112,21546
01/01/2018 00:00:00,154994,350096
12/01/2017 00:00:00,2532.4328,750
11/01/2017 00:00:00,18099.521,10000
09/01/2017 00:00:00,2225.5194,0
06/01/2017 00:00:00,1937.3798,0
05/01/2017 00:00:00,1551536.29,155719
04/01/2017 00:00:00,0,53850
03/01/2017 00:00:00,1809.8834000000002,0
02/01/2017 00:00:00,324157,63079
