Date,TotalBuy,TotalSell
03/01/2023 00:00:00,322923.266,119017
02/01/2023 00:00:00,0,163489
01/01/2023 00:00:00,865564,325224
12/01/2022 00:00:00,415,0
11/01/2022 00:00:00,310078,901707
09/01/2022 00:00:00,0,61805
08/01/2022 00:00:00,0,83469
05/01/2022 00:00:00,79711,189713
03/01/2022 00:00:00,1322904.5900000003,2253488
02/01/2022 00:00:00,425632,1328403
01/01/2022 00:00:00,397554,138172
12/01/2021 00:00:00,99174,198348
11/01/2021 00:00:00,34722,96879
07/01/2021 00:00:00,155,0
06/01/2021 00:00:00,238667,482334
05/01/2021 00:00:00,0,67500
04/01/2021 00:00:00,0,67500
03/01/2021 00:00:00,655838.8509999999,58843
02/01/2021 00:00:00,0,105851
07/01/2020 00:00:00,0,18392
04/01/2020 00:00:00,0,6237
03/01/2020 00:00:00,146600,33383
02/01/2020 00:00:00,1501696,91576
01/01/2020 00:00:00,89544.913,0
10/01/2019 00:00:00,0,15164
04/01/2019 00:00:00,15094.440999999999,1899
03/01/2019 00:00:00,0,16194
02/01/2019 00:00:00,869939,125595
01/01/2019 00:00:00,71329.76,0
09/01/2018 00:00:00,117333,234666
05/01/2018 00:00:00,453333,927952
04/01/2018 00:00:00,16858,1899
03/01/2018 00:00:00,0,13232
02/01/2018 00:00:00,1095274,34917
01/01/2018 00:00:00,70483.22450000001,10.364
10/01/2017 00:00:00,0,2624
05/01/2017 00:00:00,0,4771
04/01/2017 00:00:00,143863,520
03/01/2017 00:00:00,326775,0
02/01/2017 00:00:00,747007,17791
01/01/2017 00:00:00,177360.64399999994,5.954999999999999
10/01/2016 00:00:00,77072,557
09/01/2016 00:00:00,0,2352
08/01/2016 00:00:00,0,38481
05/01/2016 00:00:00,0,3054
04/01/2016 00:00:00,0,642
02/01/2016 00:00:00,211665,5649
