Date,TotalBuy,TotalSell
05/01/2023 00:00:00,940.78,0
04/01/2023 00:00:00,2862.38,0
02/01/2023 00:00:00,83699.19,1028
01/01/2023 00:00:00,3093.22,0
12/01/2022 00:00:00,37734,81040
11/01/2022 00:00:00,791696.5,9975
10/01/2022 00:00:00,14337.74,0
08/01/2022 00:00:00,13572.36,25156
07/01/2022 00:00:00,2086.89,0
06/01/2022 00:00:00,0,7000
05/01/2022 00:00:00,1002.09,20875
04/01/2022 00:00:00,2239.38,0
02/01/2022 00:00:00,89144.31,12467
01/01/2022 00:00:00,1929.81,0
12/01/2021 00:00:00,13930,43030
11/01/2021 00:00:00,651579.767,22690
10/01/2021 00:00:00,6827.6900000000005,10224
09/01/2021 00:00:00,12077,24154
08/01/2021 00:00:00,31112.6294,61292.7805
07/01/2021 00:00:00,1568.81,0
05/01/2021 00:00:00,789.6342,0
04/01/2021 00:00:00,2171.59,0
03/01/2021 00:00:00,51993,98556
02/01/2021 00:00:00,84692.57800000001,4094
01/01/2021 00:00:00,2045.47,1189
12/01/2020 00:00:00,591025,67781.2231
11/01/2020 00:00:00,21359.3027,63965
10/01/2020 00:00:00,2683.77,0
09/01/2020 00:00:00,25806,51612
08/01/2020 00:00:00,34990.061,83269
07/01/2020 00:00:00,1895.43,0
04/01/2020 00:00:00,3859.51,0
02/01/2020 00:00:00,65084,110168
01/01/2020 00:00:00,80206.5,7365
12/01/2019 00:00:00,233465,66407
11/01/2019 00:00:00,40858,124592
09/01/2019 00:00:00,2224.19,0
08/01/2019 00:00:00,95839,171678
07/01/2019 00:00:00,4648,0
06/01/2019 00:00:00,2393.08,6700
05/01/2019 00:00:00,10000,0
03/01/2019 00:00:00,2639.43,0
01/01/2019 00:00:00,76919,13943
12/01/2018 00:00:00,48968.28,22982
11/01/2018 00:00:00,231207,217856
09/01/2018 00:00:00,2432.66,0
08/01/2018 00:00:00,51527,15878
06/01/2018 00:00:00,1877.14,0
03/01/2018 00:00:00,2437.88,0
01/01/2018 00:00:00,72791,49041
12/01/2017 00:00:00,80175.62,105871
11/01/2017 00:00:00,610685,1159131
09/01/2017 00:00:00,1718.76,0
07/01/2017 00:00:00,0,3169
06/01/2017 00:00:00,4022.2200000000003,9156
05/01/2017 00:00:00,56400,112800
03/01/2017 00:00:00,58437.84,0
02/01/2017 00:00:00,534341,1718682
01/01/2017 00:00:00,109930,0
