Date,TotalBuy,TotalSell
06/01/2023 00:00:00,6500,38000
05/01/2023 00:00:00,37154,196696
04/01/2023 00:00:00,6500,48946
03/01/2023 00:00:00,1841344,1893094
02/01/2023 00:00:00,175156,98250
01/01/2023 00:00:00,16500,107750
12/01/2022 00:00:00,236500,339250
11/01/2022 00:00:00,6500,310250
10/01/2022 00:00:00,6500,104010
09/01/2022 00:00:00,30000,102000
08/01/2022 00:00:00,37500,457998
07/01/2022 00:00:00,37500,113748
06/01/2022 00:00:00,37500,290000
05/01/2022 00:00:00,95809,118949
04/01/2022 00:00:00,37500,95875
03/01/2022 00:00:00,52693,349700
02/01/2022 00:00:00,154957,108300
01/01/2022 00:00:00,35749,79756
12/01/2021 00:00:00,0,112722
11/01/2021 00:00:00,20303,281000
10/01/2021 00:00:00,12190,167280
09/01/2021 00:00:00,10000,66000
08/01/2021 00:00:00,50000,316000
07/01/2021 00:00:00,10000,167280
06/01/2021 00:00:00,11950,66000
05/01/2021 00:00:00,825644,3694457
04/01/2021 00:00:00,10000,187324
03/01/2021 00:00:00,1728027,9248971
02/01/2021 00:00:00,68790,66000
01/01/2021 00:00:00,517927,2501926
12/01/2020 00:00:00,175859,2592019
11/01/2020 00:00:00,2052411,12519178
06/01/2020 00:00:00,32,0
05/01/2020 00:00:00,40756716,39676883
