Date,TotalBuy,TotalSell
05/01/2023 00:00:00,14870,87438
04/01/2023 00:00:00,26033,0
03/01/2023 00:00:00,122568,400
02/01/2023 00:00:00,14406,14963
01/01/2023 00:00:00,97381,150708
12/01/2022 00:00:00,0,8926
11/01/2022 00:00:00,137,2237
08/01/2022 00:00:00,346,11700
06/01/2022 00:00:00,0,3058
05/01/2022 00:00:00,17631,64305
04/01/2022 00:00:00,35259,0
03/01/2022 00:00:00,0,500
02/01/2022 00:00:00,1781,12603
01/01/2022 00:00:00,300366,9171
11/01/2021 00:00:00,125,17444
08/01/2021 00:00:00,146,18710
07/01/2021 00:00:00,93049,93049
05/01/2021 00:00:00,29652,61032
04/01/2021 00:00:00,59963,0
02/01/2021 00:00:00,113370,9056
01/01/2021 00:00:00,97032,0
11/01/2020 00:00:00,87,1270
08/01/2020 00:00:00,302,5563
07/01/2020 00:00:00,3556,0
05/01/2020 00:00:00,90633,181640
04/01/2020 00:00:00,89157,2288
03/01/2020 00:00:00,0,4000
02/01/2020 00:00:00,240187,42716
12/01/2019 00:00:00,50000,79675
11/01/2019 00:00:00,30,8000
10/01/2019 00:00:00,0,8000
09/01/2019 00:00:00,0,10000
08/01/2019 00:00:00,346,8000
07/01/2019 00:00:00,0,10000
06/01/2019 00:00:00,0,8000
05/01/2019 00:00:00,83343,119494
04/01/2019 00:00:00,29592,10000
03/01/2019 00:00:00,0,8000
02/01/2019 00:00:00,109245,8000
01/01/2019 00:00:00,79618,10000
12/01/2018 00:00:00,50000,76075
11/01/2018 00:00:00,34,12155
10/01/2018 00:00:00,25000,10500
09/01/2018 00:00:00,0,133900
08/01/2018 00:00:00,324,503735
07/01/2018 00:00:00,0,120500
06/01/2018 00:00:00,0,76400
05/01/2018 00:00:00,88791,189972
04/01/2018 00:00:00,126068,535500
03/01/2018 00:00:00,0,576400
02/01/2018 00:00:00,3327,594566
01/01/2018 00:00:00,0,45500
12/01/2017 00:00:00,50000,107876
11/01/2017 00:00:00,455488,1478780
10/01/2017 00:00:00,0,47500
09/01/2017 00:00:00,0,209250
08/01/2017 00:00:00,457,38000
07/01/2017 00:00:00,20000,47500
06/01/2017 00:00:00,0,11500
