Date,TotalBuy,TotalSell
11/01/2023 00:00:00,36860,16624
05/01/2023 00:00:00,119567,0
03/01/2023 00:00:00,3870,0
02/01/2023 00:00:00,1343842,90984
01/01/2023 00:00:00,300204,72257
12/01/2022 00:00:00,813081,364207
11/01/2022 00:00:00,841036,0
10/01/2022 00:00:00,0,13000
09/01/2022 00:00:00,3749,0
08/01/2022 00:00:00,0,16315
06/01/2022 00:00:00,2291,0
05/01/2022 00:00:00,58311,0
04/01/2022 00:00:00,0,2492
03/01/2022 00:00:00,1105,0
02/01/2022 00:00:00,490938,609327
01/01/2022 00:00:00,1400,0
12/01/2021 00:00:00,126324,315809
11/01/2021 00:00:00,0,11988
10/01/2021 00:00:00,23724,47448
09/01/2021 00:00:00,1145,0
08/01/2021 00:00:00,20900,66141
06/01/2021 00:00:00,1023,9796
05/01/2021 00:00:00,26753,173910
04/01/2021 00:00:00,44792,0
03/01/2021 00:00:00,61773,30331
02/01/2021 00:00:00,1507465,191224
12/01/2020 00:00:00,1122,8138
09/01/2020 00:00:00,1903,0
08/01/2020 00:00:00,453942,36143
07/01/2020 00:00:00,0,9515
06/01/2020 00:00:00,2433,9796
05/01/2020 00:00:00,37453,98336
04/01/2020 00:00:00,102864,0
03/01/2020 00:00:00,197705,43671
02/01/2020 00:00:00,5026086,533629
12/01/2019 00:00:00,2356,8139
11/01/2019 00:00:00,0,8238
10/01/2019 00:00:00,8604,0
09/01/2019 00:00:00,18305650,19394327
08/01/2019 00:00:00,80819,155734
06/01/2019 00:00:00,2663,8134
05/01/2019 00:00:00,53504,143363
04/01/2019 00:00:00,74144,19134
03/01/2019 00:00:00,71632,77464
02/01/2019 00:00:00,2366467,276791
12/01/2018 00:00:00,56689,0
11/01/2018 00:00:00,9398,12990
10/01/2018 00:00:00,74673,100325
09/01/2018 00:00:00,221830,0
08/01/2018 00:00:00,626084,3320
06/01/2018 00:00:00,490135,0
05/01/2018 00:00:00,999372,34459
04/01/2018 00:00:00,51751,0
03/01/2018 00:00:00,2196,4522
02/01/2018 00:00:00,1674733,120178
01/01/2018 00:00:00,0,1937
12/01/2017 00:00:00,6382,0
11/01/2017 00:00:00,64601,90658
10/01/2017 00:00:00,74527,114031
09/01/2017 00:00:00,3138,0
08/01/2017 00:00:00,0,9018
07/01/2017 00:00:00,61046,0
06/01/2017 00:00:00,2883,0
05/01/2017 00:00:00,8197,24785
04/01/2017 00:00:00,22714,0
