Date,TotalBuy,TotalSell
06/01/2023 00:00:00,156172,24008
05/01/2023 00:00:00,260668,309365
04/01/2023 00:00:00,2909,15000
03/01/2023 00:00:00,0,115000
02/01/2023 00:00:00,725012,71014
01/01/2023 00:00:00,25000,50000
12/01/2022 00:00:00,30000,60000
11/01/2022 00:00:00,66680,634147
10/01/2022 00:00:00,96989,60000
09/01/2022 00:00:00,30000,60000
08/01/2022 00:00:00,192834,252366
07/01/2022 00:00:00,30000,60000
06/01/2022 00:00:00,40718,68276
05/01/2022 00:00:00,227037,112611
04/01/2022 00:00:00,174524,238459
03/01/2022 00:00:00,30000,60000
02/01/2022 00:00:00,61549,106564
01/01/2022 00:00:00,30000,80000
12/01/2021 00:00:00,31554,80000
11/01/2021 00:00:00,66329,138101
10/01/2021 00:00:00,30000,76500
09/01/2021 00:00:00,30000,127000
08/01/2021 00:00:00,92016,168138
07/01/2021 00:00:00,30000,81498
06/01/2021 00:00:00,30439,71502
05/01/2021 00:00:00,359594,219281
04/01/2021 00:00:00,31556,72500
03/01/2021 00:00:00,30000,71500
02/01/2021 00:00:00,58835,106438
01/01/2021 00:00:00,0,39500
12/01/2020 00:00:00,0,35000
11/01/2020 00:00:00,34275,107376
10/01/2020 00:00:00,0,34500
09/01/2020 00:00:00,0,35500
08/01/2020 00:00:00,507127,500782
07/01/2020 00:00:00,0,40000
06/01/2020 00:00:00,0,40000
05/01/2020 00:00:00,184564,44067
04/01/2020 00:00:00,3110,71500
03/01/2020 00:00:00,62694,96694
02/01/2020 00:00:00,166013,44990
01/01/2020 00:00:00,0,8500
12/01/2019 00:00:00,0,16000
11/01/2019 00:00:00,275768,19065
10/01/2019 00:00:00,0,9500
09/01/2019 00:00:00,0,10500
08/01/2019 00:00:00,67129,73356
07/01/2019 00:00:00,2850,44324
06/01/2019 00:00:00,2850,58200
05/01/2019 00:00:00,245228,129732
04/01/2019 00:00:00,1612,48280
03/01/2019 00:00:00,0,39300
02/01/2019 00:00:00,23892,78338
01/01/2019 00:00:00,0,112000
12/01/2018 00:00:00,6069,148571
11/01/2018 00:00:00,21758,161257
10/01/2018 00:00:00,6706,143506
09/01/2018 00:00:00,7848,188269
08/01/2018 00:00:00,179045,176441
07/01/2018 00:00:00,1800,134100
06/01/2018 00:00:00,7910,136133
05/01/2018 00:00:00,108888,249461
04/01/2018 00:00:00,3721,121600
03/01/2018 00:00:00,4638,140841
02/01/2018 00:00:00,24151,184831
01/01/2018 00:00:00,1,49001
12/01/2017 00:00:00,6438,91132
11/01/2017 00:00:00,13385,78955
10/01/2017 00:00:00,1554,78108
09/01/2017 00:00:00,6236,67703
08/01/2017 00:00:00,45732,80985
07/01/2017 00:00:00,15534,90068
06/01/2017 00:00:00,35190,120606
05/01/2017 00:00:00,22011,15275
