Date,TotalBuy,TotalSell
06/01/2023 00:00:00,173337,0
03/01/2023 00:00:00,0,12833
02/01/2023 00:00:00,0,4806
01/01/2023 00:00:00,2592891,1950736
11/01/2022 00:00:00,0,400000
08/01/2022 00:00:00,34000,42279
06/01/2022 00:00:00,131720,147500
05/01/2022 00:00:00,0,7100000
04/01/2022 00:00:00,8334,25085951
03/01/2022 00:00:00,0,2001326
02/01/2022 00:00:00,105196,148517
01/01/2022 00:00:00,2958488,1702648
09/01/2021 00:00:00,0,25000
08/01/2021 00:00:00,139550,23254
06/01/2021 00:00:00,256200,0
04/01/2021 00:00:00,23889,29708
03/01/2021 00:00:00,26486,7968836
02/01/2021 00:00:00,111833,155196
01/01/2021 00:00:00,2040517,378182
12/01/2020 00:00:00,214684,299163
08/01/2020 00:00:00,97936,59833
06/01/2020 00:00:00,464556,0
04/01/2020 00:00:00,23888,29707
03/01/2020 00:00:00,479076,86526
02/01/2020 00:00:00,169818,216206
01/01/2020 00:00:00,999526,152980
12/01/2019 00:00:00,107168,155891
11/01/2019 00:00:00,4352171,5226402
08/01/2019 00:00:00,57566,56982
05/01/2019 00:00:00,58516,0
03/01/2019 00:00:00,399116,427322
02/01/2019 00:00:00,783850,0
01/01/2019 00:00:00,193885,244224
12/01/2018 00:00:00,53671,5322373
08/01/2018 00:00:00,609325,0
05/01/2018 00:00:00,0,65706
04/01/2018 00:00:00,0,91880
03/01/2018 00:00:00,808900,6941
02/01/2018 00:00:00,177872,0
01/01/2018 00:00:00,193885,15568320
07/01/2017 00:00:00,70176,0
05/01/2017 00:00:00,18947,0
04/01/2017 00:00:00,1171637,0
01/01/2017 00:00:00,0,15074000
