Date,TotalBuy,TotalSell
05/01/2023 00:00:00,72372,11157
03/01/2023 00:00:00,29760,4824
02/01/2023 00:00:00,111057,47063
01/01/2023 00:00:00,90975,6148
08/01/2022 00:00:00,0,1224
07/01/2022 00:00:00,78347,0
05/01/2022 00:00:00,58102,0
04/01/2022 00:00:00,2447,0
03/01/2022 00:00:00,969.694,0
02/01/2022 00:00:00,83889.529,43266
01/01/2022 00:00:00,91310.712,0
09/01/2021 00:00:00,0,40000
08/01/2021 00:00:00,0,19762
07/01/2021 00:00:00,0,5384
05/01/2021 00:00:00,75142,6308
03/01/2021 00:00:00,0,10616
02/01/2021 00:00:00,135320,73420
01/01/2021 00:00:00,119765,37
12/01/2020 00:00:00,0,550
11/01/2020 00:00:00,0,26114
09/01/2020 00:00:00,0,1650
08/01/2020 00:00:00,8325,0
05/01/2020 00:00:00,65618.22299999998,0
03/01/2020 00:00:00,979.534,46092
02/01/2020 00:00:00,313146,118155
01/01/2020 00:00:00,134691,0
08/01/2019 00:00:00,0,164623
06/01/2019 00:00:00,4598.856,0
05/01/2019 00:00:00,44610.66900000001,0
02/01/2019 00:00:00,365713,119440
01/01/2019 00:00:00,34093,0
11/01/2018 00:00:00,0,2400
09/01/2018 00:00:00,3366.966,0
08/01/2018 00:00:00,0,46062.502
05/01/2018 00:00:00,67802.79200000002,29567.33
02/01/2018 00:00:00,0,46572
01/01/2018 00:00:00,106236,0
11/01/2017 00:00:00,0,900
10/01/2017 00:00:00,0,2200
09/01/2017 00:00:00,0,2650
08/01/2017 00:00:00,2000,1957
07/01/2017 00:00:00,4119.487,0
06/01/2017 00:00:00,0,24820
05/01/2017 00:00:00,52698.719,117022
04/01/2017 00:00:00,0,7018
03/01/2017 00:00:00,0,37000
02/01/2017 00:00:00,0,37705
01/01/2017 00:00:00,377692,0
12/01/2016 00:00:00,0,20711
11/01/2016 00:00:00,21541.48,0
09/01/2016 00:00:00,0,8375
08/01/2016 00:00:00,0,1200
07/01/2016 00:00:00,0,22526.303
06/01/2016 00:00:00,0,42526.303
05/01/2016 00:00:00,111750.08799999999,0
04/01/2016 00:00:00,0,3456
03/01/2016 00:00:00,0,36000
02/01/2016 00:00:00,0,69024
01/01/2016 00:00:00,167776,0
