Date,TotalBuy,TotalSell
05/01/2023 00:00:00,85853,12350
03/01/2023 00:00:00,186934,103374
02/01/2023 00:00:00,229642,38648
01/01/2023 00:00:00,47859,23189
07/01/2022 00:00:00,12186,12186
06/01/2022 00:00:00,238065,103998
05/01/2022 00:00:00,282093,38373
02/01/2022 00:00:00,1029782,0
01/01/2022 00:00:00,19724,101894
06/01/2021 00:00:00,25228,124136
05/01/2021 00:00:00,212467,136377
01/01/2021 00:00:00,499681,8008
09/01/2020 00:00:00,125000,0
06/01/2020 00:00:00,838416,0
05/01/2020 00:00:00,624439,38980
02/01/2020 00:00:00,100100,0
11/01/2019 00:00:00,10000,0
06/01/2019 00:00:00,2780,0
05/01/2019 00:00:00,721636,31241
09/01/2018 00:00:00,5525,0
05/01/2018 00:00:00,140031,11451
02/01/2018 00:00:00,23250,0
12/01/2017 00:00:00,150280,0
11/01/2017 00:00:00,313700,0
09/01/2017 00:00:00,100000,0
08/01/2017 00:00:00,31200,0
05/01/2017 00:00:00,80157,0
11/01/2016 00:00:00,130000,0
05/01/2016 00:00:00,238783,14864
08/01/2015 00:00:00,473750,0
05/01/2015 00:00:00,488421,12878
03/01/2015 00:00:00,25000,0
08/01/2014 00:00:00,209621,0
05/01/2014 00:00:00,34617,0
