Date,TotalBuy,TotalSell
04/01/2023 00:00:00,7623,0
02/01/2023 00:00:00,247828,20553
01/01/2023 00:00:00,6917,0
10/01/2022 00:00:00,8804,23800
08/01/2022 00:00:00,1165,10520
07/01/2022 00:00:00,6565,0
04/01/2022 00:00:00,69691,0
02/01/2022 00:00:00,277202,154702
01/01/2022 00:00:00,8429,0
10/01/2021 00:00:00,7897,3676
07/01/2021 00:00:00,7433,0
05/01/2021 00:00:00,0,1000
04/01/2021 00:00:00,6875,0
03/01/2021 00:00:00,0,62907
02/01/2021 00:00:00,294531,80821
01/01/2021 00:00:00,7931,0
12/01/2020 00:00:00,0,15000
11/01/2020 00:00:00,0,20034
10/01/2020 00:00:00,9687,0
08/01/2020 00:00:00,10000,0
07/01/2020 00:00:00,8835,0
04/01/2020 00:00:00,10637,0
03/01/2020 00:00:00,3676,52034
02/01/2020 00:00:00,228062,64894
01/01/2020 00:00:00,6092,0
12/01/2019 00:00:00,0,10711
11/01/2019 00:00:00,0,4925
10/01/2019 00:00:00,6274,2332
08/01/2019 00:00:00,103785,1700
07/01/2019 00:00:00,6904,0
06/01/2019 00:00:00,0,4050
05/01/2019 00:00:00,0,37899
04/01/2019 00:00:00,6952,0
03/01/2019 00:00:00,0,40329
02/01/2019 00:00:00,217083,60181
01/01/2019 00:00:00,6319,0
12/01/2018 00:00:00,0,3606
11/01/2018 00:00:00,0,16109
10/01/2018 00:00:00,8760,0
09/01/2018 00:00:00,0,10000
08/01/2018 00:00:00,0,48256
07/01/2018 00:00:00,9258,0
06/01/2018 00:00:00,0,22287
05/01/2018 00:00:00,0,51379
04/01/2018 00:00:00,12986,0
02/01/2018 00:00:00,243881,52188
01/01/2018 00:00:00,9577,834
12/01/2017 00:00:00,0,21414
11/01/2017 00:00:00,0,4000
10/01/2017 00:00:00,9196,0
08/01/2017 00:00:00,0,52912
07/01/2017 00:00:00,7378,0
06/01/2017 00:00:00,2600,0
05/01/2017 00:00:00,50130,0
04/01/2017 00:00:00,0,15500
03/01/2017 00:00:00,0,87041
02/01/2017 00:00:00,0,61508
