Date,TotalBuy,TotalSell
06/01/2023 00:00:00,262.3288,0
03/01/2023 00:00:00,36227.3239,2400
02/01/2023 00:00:00,47530,31349
01/01/2023 00:00:00,500,673
12/01/2022 00:00:00,844.5115999999999,0
11/01/2022 00:00:00,3718,11771
09/01/2022 00:00:00,1240.8425,0
06/01/2022 00:00:00,824.6342,0
03/01/2022 00:00:00,1881.6611000000003,11708
02/01/2022 00:00:00,97040,31972
01/01/2022 00:00:00,3523,5355
12/01/2021 00:00:00,572.6318,0
11/01/2021 00:00:00,15177,0
09/01/2021 00:00:00,1235.2916,0
08/01/2021 00:00:00,290,0
06/01/2021 00:00:00,628.6904999999999,0
05/01/2021 00:00:00,4357,2966
03/01/2021 00:00:00,3191.6937,0
02/01/2021 00:00:00,183794,25496
01/01/2021 00:00:00,606,843
12/01/2020 00:00:00,1097.1784,0
09/01/2020 00:00:00,1433.0628000000002,0
07/01/2020 00:00:00,4000,5932
06/01/2020 00:00:00,1721.5086,0
03/01/2020 00:00:00,4518.3562,0
02/01/2020 00:00:00,233909,30941
01/01/2020 00:00:00,311,513
12/01/2019 00:00:00,1122.8243000000002,0
09/01/2019 00:00:00,1090.8096,0
08/01/2019 00:00:00,1700,11261
07/01/2019 00:00:00,40937,0
06/01/2019 00:00:00,1172.3602,0
03/01/2019 00:00:00,1179.5663000000002,0
02/01/2019 00:00:00,109256,59110
01/01/2019 00:00:00,577.6206999999999,1193.2413999999999
12/01/2018 00:00:00,1085.0565000000001,0
10/01/2018 00:00:00,284,0
09/01/2018 00:00:00,869.0019,0
08/01/2018 00:00:00,0,500
07/01/2018 00:00:00,3000,3999
06/01/2018 00:00:00,903.9188,0
05/01/2018 00:00:00,7500,0
03/01/2018 00:00:00,823.1127000000001,0
02/01/2018 00:00:00,103520,53033
12/01/2017 00:00:00,644.2466,0
11/01/2017 00:00:00,0,25397.919
09/01/2017 00:00:00,760.9099000000001,0
08/01/2017 00:00:00,26318,54784
07/01/2017 00:00:00,4000,0
06/01/2017 00:00:00,841.0093999999999,0
05/01/2017 00:00:00,16000,31756
03/01/2017 00:00:00,973.3467,10025.548
02/01/2017 00:00:00,0,22846
