Date,TotalBuy,TotalSell
06/01/2023 00:00:00,66836,0
05/01/2023 00:00:00,84474,25591
02/01/2023 00:00:00,988418,356237
12/01/2022 00:00:00,88500,52000
11/01/2022 00:00:00,70602,50667
08/01/2022 00:00:00,7346,0
05/01/2022 00:00:00,81801,50013
03/01/2022 00:00:00,331178,178000
02/01/2022 00:00:00,66167,27021
12/01/2021 00:00:00,31869,67545
11/01/2021 00:00:00,0,2684
05/01/2021 00:00:00,67404,35897
02/01/2021 00:00:00,218503,80006
12/01/2020 00:00:00,95571,237671
11/01/2020 00:00:00,0,2000
10/01/2020 00:00:00,1108,0
06/01/2020 00:00:00,0,8000
05/01/2020 00:00:00,127656,43676
04/01/2020 00:00:00,15512,0
03/01/2020 00:00:00,4913966,3297095
02/01/2020 00:00:00,249163,133637
01/01/2020 00:00:00,390,0
12/01/2019 00:00:00,217,15000
11/01/2019 00:00:00,400,0
09/01/2019 00:00:00,190,0
08/01/2019 00:00:00,500,0
06/01/2019 00:00:00,95170,0
05/01/2019 00:00:00,61303,14470
02/01/2019 00:00:00,457269,311181
01/01/2019 00:00:00,416,0
12/01/2018 00:00:00,24300,10000
11/01/2018 00:00:00,21200,0
10/01/2018 00:00:00,7452,0
09/01/2018 00:00:00,10000,0
08/01/2018 00:00:00,10000,10000
05/01/2018 00:00:00,31380,0
03/01/2018 00:00:00,424147,238584
02/01/2018 00:00:00,110663,0
01/01/2018 00:00:00,1505,0
12/01/2017 00:00:00,85853,51193
11/01/2017 00:00:00,28727,0
10/01/2017 00:00:00,48263,0
08/01/2017 00:00:00,0,30000
06/01/2017 00:00:00,44917,0
05/01/2017 00:00:00,672612,649550
03/01/2017 00:00:00,21750,43500
02/01/2017 00:00:00,227101,30000
