Date,TotalBuy,TotalSell
05/01/2023 00:00:00,14166,33301
04/01/2023 00:00:00,0,6000
03/01/2023 00:00:00,5903,40661
02/01/2023 00:00:00,273515,181367
12/01/2022 00:00:00,0,2000
11/01/2022 00:00:00,0,65776
10/01/2022 00:00:00,0,14951
09/01/2022 00:00:00,0,1567
08/01/2022 00:00:00,0,60716
06/01/2022 00:00:00,0,17000
05/01/2022 00:00:00,16893,42611
04/01/2022 00:00:00,0,7391
03/01/2022 00:00:00,1984,14276
02/01/2022 00:00:00,71273,3769
11/01/2021 00:00:00,0,53001
10/01/2021 00:00:00,0,104000
09/01/2021 00:00:00,0,37500
08/01/2021 00:00:00,0,17354
07/01/2021 00:00:00,0,17400
06/01/2021 00:00:00,0,16350
05/01/2021 00:00:00,17766,35808
04/01/2021 00:00:00,0,15000
03/01/2021 00:00:00,74979,181957
02/01/2021 00:00:00,606548,369176
12/01/2020 00:00:00,719,0
11/01/2020 00:00:00,0,137527
10/01/2020 00:00:00,0,26625
09/01/2020 00:00:00,2000,3500
08/01/2020 00:00:00,0,141109
06/01/2020 00:00:00,0,3800
05/01/2020 00:00:00,25872,0
02/01/2020 00:00:00,393313,314866
12/01/2019 00:00:00,1930,19000
11/01/2019 00:00:00,100,5900
10/01/2019 00:00:00,0,8563
09/01/2019 00:00:00,0,6161
08/01/2019 00:00:00,2500,2618
07/01/2019 00:00:00,0,15000
06/01/2019 00:00:00,0,18000
05/01/2019 00:00:00,9016,41522
04/01/2019 00:00:00,228,28000
03/01/2019 00:00:00,0,21424
02/01/2019 00:00:00,584014,502583
12/01/2018 00:00:00,299,30136
11/01/2018 00:00:00,0,35742
10/01/2018 00:00:00,16910,697736
08/01/2018 00:00:00,0,211192
06/01/2018 00:00:00,0,9500
05/01/2018 00:00:00,8358,285816
03/01/2018 00:00:00,9984,139676
02/01/2018 00:00:00,526206,385730
12/01/2017 00:00:00,535,64562
11/01/2017 00:00:00,0,131853
10/01/2017 00:00:00,0,3091
09/01/2017 00:00:00,949,6250
08/01/2017 00:00:00,0,125451
06/01/2017 00:00:00,8369,0
05/01/2017 00:00:00,0,81240
03/01/2017 00:00:00,200,32323
02/01/2017 00:00:00,71903,138382
