Date,TotalBuy,TotalSell
04/01/2023 00:00:00,34421,30060
03/01/2023 00:00:00,0,23750
01/01/2023 00:00:00,28446,28212
10/01/2022 00:00:00,45201,40684
08/01/2022 00:00:00,3620307,3387651
07/01/2022 00:00:00,38941,39004
04/01/2022 00:00:00,38376,42322
01/01/2022 00:00:00,33361,39828
12/01/2021 00:00:00,0,1000000
10/01/2021 00:00:00,31937,32268
08/01/2021 00:00:00,2294904,2120037
07/01/2021 00:00:00,32057,1097775
04/01/2021 00:00:00,30095,33384
03/01/2021 00:00:00,1000000,0
02/01/2021 00:00:00,0,16000
01/01/2021 00:00:00,32361,32928
11/01/2020 00:00:00,228594,70000
10/01/2020 00:00:00,43163,34164
08/01/2020 00:00:00,1901524,1429701
07/01/2020 00:00:00,48058,34664
06/01/2020 00:00:00,0,11433
04/01/2020 00:00:00,60601,27146
01/01/2020 00:00:00,39732,28056
10/01/2019 00:00:00,43175,27384
09/01/2019 00:00:00,0,34937
08/01/2019 00:00:00,1669673,1291500
07/01/2019 00:00:00,39379,24164
04/01/2019 00:00:00,44291,25074
01/01/2019 00:00:00,44769,24360
10/01/2018 00:00:00,43642,27496
08/01/2018 00:00:00,1215601,1095795
07/01/2018 00:00:00,38246,27496
04/01/2018 00:00:00,29877,15438
01/01/2018 00:00:00,28657,17606
12/01/2017 00:00:00,0,2468
11/01/2017 00:00:00,0,22387
10/01/2017 00:00:00,34958,19084
08/01/2017 00:00:00,588092,572731
07/01/2017 00:00:00,33733,20504
04/01/2017 00:00:00,31221,15978
