Date,TotalBuy,TotalSell
06/01/2023 00:00:00,108,0
05/01/2023 00:00:00,36053,16223
04/01/2023 00:00:00,59569.568000000014,0
03/01/2023 00:00:00,106075.764,32007
02/01/2023 00:00:00,2686640,862074
01/01/2023 00:00:00,178,0
12/01/2022 00:00:00,327573.88,622993
11/01/2022 00:00:00,79189,260576
10/01/2022 00:00:00,292,0
09/01/2022 00:00:00,4201.345,0
08/01/2022 00:00:00,82,0
07/01/2022 00:00:00,3611.1240000000003,0
06/01/2022 00:00:00,80,4218
05/01/2022 00:00:00,227534,145491
04/01/2022 00:00:00,48964.634999999995,0
03/01/2022 00:00:00,219863,286005
02/01/2022 00:00:00,3017799,1546250
01/01/2022 00:00:00,144,6680
12/01/2021 00:00:00,197150.579,469163
11/01/2021 00:00:00,217736,794889
10/01/2021 00:00:00,4243.700000000001,0
09/01/2021 00:00:00,106,0
08/01/2021 00:00:00,43511,1661
07/01/2021 00:00:00,4572.958,2500
06/01/2021 00:00:00,4868,4750
05/01/2021 00:00:00,118,11330
04/01/2021 00:00:00,60786.048999999985,0
03/01/2021 00:00:00,2000,0
02/01/2021 00:00:00,4529307,2531124
01/01/2021 00:00:00,252,6749
12/01/2020 00:00:00,23081.394,11268
11/01/2020 00:00:00,117,176170
10/01/2020 00:00:00,380,0
09/01/2020 00:00:00,5721.861,0
08/01/2020 00:00:00,13118,0
07/01/2020 00:00:00,402,0
06/01/2020 00:00:00,6497.718,2181
05/01/2020 00:00:00,223,95353
04/01/2020 00:00:00,70484.033,101216
03/01/2020 00:00:00,10047.729000000001,0
02/01/2020 00:00:00,5000723.49,2348855
01/01/2020 00:00:00,1317,6043
12/01/2019 00:00:00,4422.332,10956
11/01/2019 00:00:00,182,876
10/01/2019 00:00:00,578,0
09/01/2019 00:00:00,4779.005,0
08/01/2019 00:00:00,130027,0
07/01/2019 00:00:00,451,153184
06/01/2019 00:00:00,7663.984,30000
05/01/2019 00:00:00,167,240
04/01/2019 00:00:00,44633.95599999999,19255
03/01/2019 00:00:00,111520.52799999999,1108382
02/01/2019 00:00:00,5494587,3184496
01/01/2019 00:00:00,126239,348262
12/01/2018 00:00:00,3952.706,7000
11/01/2018 00:00:00,1100343,2240006
10/01/2018 00:00:00,399,0
09/01/2018 00:00:00,185629.408,343847
08/01/2018 00:00:00,17538,277798
07/01/2018 00:00:00,435,527134
06/01/2018 00:00:00,4559.53,24223
05/01/2018 00:00:00,79,132312
04/01/2018 00:00:00,52640.810000000005,0
03/01/2018 00:00:00,11125.715,203401
02/01/2018 00:00:00,7432705,6359576
01/01/2018 00:00:00,90,0
12/01/2017 00:00:00,1775720.5500000003,22510
11/01/2017 00:00:00,71,11569
10/01/2017 00:00:00,161,7350
09/01/2017 00:00:00,5236.5650000000005,59720
08/01/2017 00:00:00,76,418941
07/01/2017 00:00:00,175,0
06/01/2017 00:00:00,5564.9839999999995,16682
05/01/2017 00:00:00,77,0
04/01/2017 00:00:00,61518.57699999998,0
03/01/2017 00:00:00,11060.5,100202
02/01/2017 00:00:00,181205,174921
