Date,TotalBuy,TotalSell
11/01/2024 00:00:00,0,200
06/01/2023 00:00:00,486548,2093732
05/01/2023 00:00:00,572900,836157
04/01/2023 00:00:00,57747,128709
03/01/2023 00:00:00,330192,592651
02/01/2023 00:00:00,512672,1055256
01/01/2023 00:00:00,2020,39667
12/01/2022 00:00:00,0,31235
11/01/2022 00:00:00,440000,1228714
10/01/2022 00:00:00,1783065,531165
09/01/2022 00:00:00,205001,471059
08/01/2022 00:00:00,249000,469655
07/01/2022 00:00:00,0,26698
06/01/2022 00:00:00,1532,29635
05/01/2022 00:00:00,187692,222276
04/01/2022 00:00:00,250000,233546
03/01/2022 00:00:00,457864,758768
02/01/2022 00:00:00,150000,513840
01/01/2022 00:00:00,1929839,401842
12/01/2021 00:00:00,390250,627682
11/01/2021 00:00:00,650560,1696888
10/01/2021 00:00:00,424914,620849
09/01/2021 00:00:00,712521,855547
08/01/2021 00:00:00,304583,305223
07/01/2021 00:00:00,25064,1155351
06/01/2021 00:00:00,1388602,8285891
05/01/2021 00:00:00,409326,647397
04/01/2021 00:00:00,1213561,1523097
03/01/2021 00:00:00,294532,637989
02/01/2021 00:00:00,170013,444944
01/01/2021 00:00:00,2214143,7881291
12/01/2020 00:00:00,904673,3796876
11/01/2020 00:00:00,2257792,9843511
10/01/2020 00:00:00,305539,1150268
09/01/2020 00:00:00,590081,1772652
08/01/2020 00:00:00,2984750,9883134
07/01/2020 00:00:00,165384,1084026
06/01/2020 00:00:00,120000,645996
05/01/2020 00:00:00,264484,5071386
04/01/2020 00:00:00,0,68000
03/01/2020 00:00:00,25000,0
02/01/2020 00:00:00,490519,490519
01/01/2020 00:00:00,1045808,3775876
10/01/2019 00:00:00,67971286,70665535
