Date,TotalBuy,TotalSell
06/01/2023 00:00:00,10935,0
04/01/2023 00:00:00,97384,0
03/01/2023 00:00:00,11823,0
02/01/2023 00:00:00,301885,129685
12/01/2022 00:00:00,12129,3000
09/01/2022 00:00:00,11435,0
06/01/2022 00:00:00,19858,5000
04/01/2022 00:00:00,56080,0
03/01/2022 00:00:00,9737,9687
02/01/2022 00:00:00,220792,91225
12/01/2021 00:00:00,6759,0
11/01/2021 00:00:00,20000,20000
09/01/2021 00:00:00,6465,10380
08/01/2021 00:00:00,10000,0
06/01/2021 00:00:00,6001,0
05/01/2021 00:00:00,4000,22893
04/01/2021 00:00:00,56475,0
03/01/2021 00:00:00,109651,150559
02/01/2021 00:00:00,312441,212943
01/01/2021 00:00:00,130162,46849
12/01/2020 00:00:00,422588,605359
11/01/2020 00:00:00,830091,0
09/01/2020 00:00:00,13948,4892
06/01/2020 00:00:00,62006,0
04/01/2020 00:00:00,170037,0
03/01/2020 00:00:00,143948,5566
02/01/2020 00:00:00,274942,50552
01/01/2020 00:00:00,373140,156472
12/01/2019 00:00:00,4075,0
09/01/2019 00:00:00,10578,15471
08/01/2019 00:00:00,0,7761
06/01/2019 00:00:00,3733,0
05/01/2019 00:00:00,0,44510
04/01/2019 00:00:00,30765,0
03/01/2019 00:00:00,3348,5566
02/01/2019 00:00:00,151679,62270
01/01/2019 00:00:00,272210,116466
12/01/2018 00:00:00,4025,0
10/01/2018 00:00:00,44140,0
09/01/2018 00:00:00,3236,10591
08/01/2018 00:00:00,0,5770
06/01/2018 00:00:00,3336,0
05/01/2018 00:00:00,0,57385
04/01/2018 00:00:00,33789,0
03/01/2018 00:00:00,3804,53656916
02/01/2018 00:00:00,162019,27251
12/01/2017 00:00:00,3490,5296
09/01/2017 00:00:00,3680,11355
08/01/2017 00:00:00,9600,5833
07/01/2017 00:00:00,24970,0
06/01/2017 00:00:00,3720,45000000
05/01/2017 00:00:00,0,50992
03/01/2017 00:00:00,77431,160966642
02/01/2017 00:00:00,16404,0
