Date,TotalBuy,TotalSell
06/01/2023 00:00:00,6667,49955
05/01/2023 00:00:00,5724,636
03/01/2023 00:00:00,80009,33854
02/01/2023 00:00:00,117831,0
07/01/2022 00:00:00,93401,39665
06/01/2022 00:00:00,4022,55443
05/01/2022 00:00:00,5315,1070
04/01/2022 00:00:00,0,7447
02/01/2022 00:00:00,90818,3481
08/01/2021 00:00:00,0,16638
07/01/2021 00:00:00,23494,9972
06/01/2021 00:00:00,5013,52713
05/01/2021 00:00:00,5270,10215
04/01/2021 00:00:00,0,70
03/01/2021 00:00:00,0,5000
02/01/2021 00:00:00,103160,0
12/01/2020 00:00:00,0,100
11/01/2020 00:00:00,0,57516
09/01/2020 00:00:00,0,1250
07/01/2020 00:00:00,0,12000
06/01/2020 00:00:00,8998,73019
05/01/2020 00:00:00,7490,1498
02/01/2020 00:00:00,135068,0
12/01/2019 00:00:00,314,90
11/01/2019 00:00:00,0,1900
08/01/2019 00:00:00,0,16500
07/01/2019 00:00:00,0,7477
06/01/2019 00:00:00,61298,48725
05/01/2019 00:00:00,7060,1412
02/01/2019 00:00:00,53102,0
12/01/2018 00:00:00,0,60
07/01/2018 00:00:00,0,22329
06/01/2018 00:00:00,45531,38394
05/01/2018 00:00:00,5660,1132
02/01/2018 00:00:00,43369,800
12/01/2017 00:00:00,0,80
11/01/2017 00:00:00,0,6077
10/01/2017 00:00:00,0,6150
09/01/2017 00:00:00,0,6045
07/01/2017 00:00:00,0,1136
06/01/2017 00:00:00,61861,55017
05/01/2017 00:00:00,4860,1428
04/01/2017 00:00:00,0,225
02/01/2017 00:00:00,58600,8173
01/01/2017 00:00:00,1776.77,1975
