Date,TotalBuy,TotalSell
06/01/2023 00:00:00,170086,0
05/01/2023 00:00:00,5595000,0
04/01/2023 00:00:00,10316,14974
03/01/2023 00:00:00,0,34994
01/01/2023 00:00:00,7604,0
11/01/2022 00:00:00,0,3680
10/01/2022 00:00:00,374342,0
09/01/2022 00:00:00,0,306033
08/01/2022 00:00:00,0,305137
07/01/2022 00:00:00,6650,0
06/01/2022 00:00:00,108624,0
05/01/2022 00:00:00,0,20000
04/01/2022 00:00:00,220752,0
02/01/2022 00:00:00,0,34942
01/01/2022 00:00:00,3335,0
10/01/2021 00:00:00,3685,0
09/01/2021 00:00:00,11135000,232584
08/01/2021 00:00:00,935045,1283406
07/01/2021 00:00:00,5238,19854
05/01/2021 00:00:00,50000,50000
02/01/2021 00:00:00,4479,0
01/01/2021 00:00:00,790074,1581814
12/01/2020 00:00:00,840200,2060711
11/01/2020 00:00:00,3872421,4145386
10/01/2020 00:00:00,1604280,3485551
09/01/2020 00:00:00,2870000,510352
08/01/2020 00:00:00,1981665,3652042
07/01/2020 00:00:00,1771610,2817993
06/01/2020 00:00:00,3091294,5924913
05/01/2020 00:00:00,50000,65175
04/01/2020 00:00:00,1928352,2084698
02/01/2020 00:00:00,1508334,3416668
01/01/2020 00:00:00,217601,399998
10/01/2019 00:00:00,21151,0
08/01/2019 00:00:00,3196667,545275
07/01/2019 00:00:00,25714,0
05/01/2019 00:00:00,732896,0
04/01/2019 00:00:00,27188,0
03/01/2019 00:00:00,112286,0
01/01/2019 00:00:00,52619,0
10/01/2018 00:00:00,134074,200000
09/01/2018 00:00:00,0,31343
08/01/2018 00:00:00,2380000,0
07/01/2018 00:00:00,31362,0
06/01/2018 00:00:00,77320,0
05/01/2018 00:00:00,473936,0
04/01/2018 00:00:00,35318,0
01/01/2018 00:00:00,28283,0
12/01/2017 00:00:00,13332,18164
10/01/2017 00:00:00,25575,0
09/01/2017 00:00:00,204855,4855
08/01/2017 00:00:00,3025000,0
07/01/2017 00:00:00,30909,0
06/01/2017 00:00:00,528174,6247
