Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,19905
05/01/2023 00:00:00,10044,0
04/01/2023 00:00:00,0,1255
03/01/2023 00:00:00,54325,98364
02/01/2023 00:00:00,90573,24458
01/01/2023 00:00:00,15000,31359
12/01/2022 00:00:00,27488,42308
11/01/2022 00:00:00,6290,23148
10/01/2022 00:00:00,15000,30000
08/01/2022 00:00:00,0,2900
07/01/2022 00:00:00,15000,30000
06/01/2022 00:00:00,22507,7408
05/01/2022 00:00:00,7063,0
04/01/2022 00:00:00,15000,32908
03/01/2022 00:00:00,23452,26586
02/01/2022 00:00:00,160647,30029
01/01/2022 00:00:00,15000,30693
12/01/2021 00:00:00,4513,14274
11/01/2021 00:00:00,8822,13387
10/01/2021 00:00:00,15998,30000
08/01/2021 00:00:00,21596,67982
07/01/2021 00:00:00,15000,32250
06/01/2021 00:00:00,0,12499
05/01/2021 00:00:00,38191,38482
04/01/2021 00:00:00,15000,31146
03/01/2021 00:00:00,0,2847
02/01/2021 00:00:00,111984,32831
01/01/2021 00:00:00,15000,30695
12/01/2020 00:00:00,3437,3423
11/01/2020 00:00:00,7000,15000
10/01/2020 00:00:00,38273,74514
09/01/2020 00:00:00,0,5915
08/01/2020 00:00:00,0,107245
07/01/2020 00:00:00,8392,23304
06/01/2020 00:00:00,4689,365
05/01/2020 00:00:00,8232,5526
04/01/2020 00:00:00,0,3207
03/01/2020 00:00:00,0,1042
02/01/2020 00:00:00,128663,55646
01/01/2020 00:00:00,12500,28892
11/01/2019 00:00:00,23606,40390
09/01/2019 00:00:00,0,649
08/01/2019 00:00:00,0,4153
07/01/2019 00:00:00,2033,0
06/01/2019 00:00:00,7118,3391
05/01/2019 00:00:00,49181,79659
04/01/2019 00:00:00,22498,14790
03/01/2019 00:00:00,89522,144188
02/01/2019 00:00:00,86192,44377
01/01/2019 00:00:00,14822,9652
12/01/2018 00:00:00,6834,9261
11/01/2018 00:00:00,6113,13962
10/01/2018 00:00:00,0,602
09/01/2018 00:00:00,0,1562
08/01/2018 00:00:00,0,5645
07/01/2018 00:00:00,0,3426
06/01/2018 00:00:00,8307,20367
05/01/2018 00:00:00,34431,65736
03/01/2018 00:00:00,73605,68880
02/01/2018 00:00:00,369924,65601
12/01/2017 00:00:00,0,1967
11/01/2017 00:00:00,2500,0
09/01/2017 00:00:00,2500,0
08/01/2017 00:00:00,64623,0
07/01/2017 00:00:00,0,2434
05/01/2017 00:00:00,77707,1524
04/01/2017 00:00:00,0,1071
03/01/2017 00:00:00,40000,81522
