Date,TotalBuy,TotalSell
05/01/2023 00:00:00,0,4000
04/01/2023 00:00:00,38536,1144
03/01/2023 00:00:00,0,2050
02/01/2023 00:00:00,102439,43605
12/01/2022 00:00:00,222,2225
10/01/2022 00:00:00,2243,0
08/01/2022 00:00:00,0,13520
07/01/2022 00:00:00,37163,358
05/01/2022 00:00:00,4000,0
04/01/2022 00:00:00,1882,0
03/01/2022 00:00:00,0,2500
02/01/2022 00:00:00,137252,56024
01/01/2022 00:00:00,1223,0
09/01/2021 00:00:00,0,5100
08/01/2021 00:00:00,5000,2537
07/01/2021 00:00:00,1181,384
05/01/2021 00:00:00,0,31897
04/01/2021 00:00:00,24617,513
02/01/2021 00:00:00,76304.69,10540
01/01/2021 00:00:00,1332,0
10/01/2020 00:00:00,8269,0
04/01/2020 00:00:00,24428,504
03/01/2020 00:00:00,658,0
02/01/2020 00:00:00,77244.65,22468
12/01/2019 00:00:00,0,1000
11/01/2019 00:00:00,0,3907
09/01/2019 00:00:00,0,4769
05/01/2019 00:00:00,2082,432
04/01/2019 00:00:00,29522,0
02/01/2019 00:00:00,74004,21569
01/01/2019 00:00:00,1635,0
12/01/2018 00:00:00,8226,8226
11/01/2018 00:00:00,5003,5003
08/01/2018 00:00:00,0,4380
07/01/2018 00:00:00,2248,0
04/01/2018 00:00:00,29307,0
02/01/2018 00:00:00,38736,13817
09/01/2017 00:00:00,18330,0
06/01/2017 00:00:00,0,22572
05/01/2017 00:00:00,0,9000
04/01/2017 00:00:00,22035,2585
03/01/2017 00:00:00,0,560
