Date,TotalBuy,TotalSell
06/01/2023 00:00:00,11677,21754
05/01/2023 00:00:00,9675.999,12386
04/01/2023 00:00:00,1184.876,0
03/01/2023 00:00:00,1193.0500000000002,2500
02/01/2023 00:00:00,1191.86,0
01/01/2023 00:00:00,44027.286,25723
12/01/2022 00:00:00,189215.951,280721
11/01/2022 00:00:00,331927.631,275676
10/01/2022 00:00:00,1069.056,35045
09/01/2022 00:00:00,1180.127,1842
08/01/2022 00:00:00,1089.055,30
07/01/2022 00:00:00,1060.731,0
06/01/2022 00:00:00,11971.253,21547
05/01/2022 00:00:00,13697.142,9250
04/01/2022 00:00:00,18556.846,17123
03/01/2022 00:00:00,426635.053,0
02/01/2022 00:00:00,17414.495,200
01/01/2022 00:00:00,16207.978,18392
12/01/2021 00:00:00,901.8360000000001,2510
11/01/2021 00:00:00,196870.424,155935
10/01/2021 00:00:00,187941.814,227908
09/01/2021 00:00:00,391565.878,619853
08/01/2021 00:00:00,59871.444,68512
07/01/2021 00:00:00,993.3956000000001,0
06/01/2021 00:00:00,28343.208,33900
05/01/2021 00:00:00,98104,157770
04/01/2021 00:00:00,176543.742,285929
03/01/2021 00:00:00,80772.462,112318
02/01/2021 00:00:00,15481.589,0
01/01/2021 00:00:00,35774,35774
12/01/2020 00:00:00,7647.485000000001,86941
11/01/2020 00:00:00,187982.54,47572
10/01/2020 00:00:00,950.6970000000001,0
09/01/2020 00:00:00,949.587,0
08/01/2020 00:00:00,10927.797999999999,0
07/01/2020 00:00:00,807.5830000000001,0
06/01/2020 00:00:00,8017.904,14400
05/01/2020 00:00:00,923.164,4000
04/01/2020 00:00:00,780.236,0
03/01/2020 00:00:00,863.7420000000001,1537
02/01/2020 00:00:00,12907.73,3300
01/01/2020 00:00:00,3508.328,4853
12/01/2019 00:00:00,28799.04,44760
11/01/2019 00:00:00,122145.11600000001,71570
10/01/2019 00:00:00,706.169,0
09/01/2019 00:00:00,686.5540000000001,0
08/01/2019 00:00:00,1402728.906,1400400
07/01/2019 00:00:00,677.717,0
06/01/2019 00:00:00,698.901,0
05/01/2019 00:00:00,691.387,0
04/01/2019 00:00:00,644.307,0
03/01/2019 00:00:00,664.211,750
02/01/2019 00:00:00,1509691.023,1257500
01/01/2019 00:00:00,19191.859,4709
12/01/2018 00:00:00,660.692,669
11/01/2018 00:00:00,159104.658,23045
10/01/2018 00:00:00,665.998,0
09/01/2018 00:00:00,600.6479999999999,0
08/01/2018 00:00:00,605.465,0
07/01/2018 00:00:00,39680.338,0
06/01/2018 00:00:00,684.5809999999999,0
05/01/2018 00:00:00,766.064,3270
04/01/2018 00:00:00,740.072,0
03/01/2018 00:00:00,777.291,0
02/01/2018 00:00:00,104850.086,102785
01/01/2018 00:00:00,19577.213,5499
12/01/2017 00:00:00,4407.247,3664
11/01/2017 00:00:00,256344.878,14868
10/01/2017 00:00:00,7378.0869999999995,17236
09/01/2017 00:00:00,566.4309999999999,0
08/01/2017 00:00:00,587.323,585
07/01/2017 00:00:00,1249.525,125
06/01/2017 00:00:00,2928,0
05/01/2017 00:00:00,15922.339,0
04/01/2017 00:00:00,593.8810000000001,0
03/01/2017 00:00:00,571.2850000000001,0
02/01/2017 00:00:00,610.711,0
01/01/2017 00:00:00,10797.499,0
12/01/2016 00:00:00,7286.487999999999,6666
11/01/2016 00:00:00,808655.036,304965
