Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,21051
05/01/2023 00:00:00,159064,0
03/01/2023 00:00:00,17304930,100423914
02/01/2023 00:00:00,4089,0
12/01/2022 00:00:00,0,2310666
11/01/2022 00:00:00,0,40000
10/01/2022 00:00:00,0,200000
09/01/2022 00:00:00,335315161,974054
08/01/2022 00:00:00,540155,676481
06/01/2022 00:00:00,0,169
04/01/2022 00:00:00,733850,0
03/01/2022 00:00:00,0,46193139
02/01/2022 00:00:00,0,12334
12/01/2021 00:00:00,0,58
11/01/2021 00:00:00,0,173551
10/01/2021 00:00:00,0,97386
09/01/2021 00:00:00,0,1035098
08/01/2021 00:00:00,0,89096
07/01/2021 00:00:00,996637,164637
06/01/2021 00:00:00,0,93731
03/01/2021 00:00:00,0,10098177
02/01/2021 00:00:00,0,14662
12/01/2020 00:00:00,588289,4105
09/01/2020 00:00:00,120000,0
08/01/2020 00:00:00,25000,0
07/01/2020 00:00:00,7082835,167387
06/01/2020 00:00:00,50000,0
05/01/2020 00:00:00,26361346,0
04/01/2020 00:00:00,293821,428118
03/01/2020 00:00:00,75000,5298
02/01/2020 00:00:00,479872,27174
12/01/2019 00:00:00,272323,338
11/01/2019 00:00:00,225000,0
10/01/2019 00:00:00,9567,0
08/01/2019 00:00:00,50000,37335
07/01/2019 00:00:00,973885,0
02/01/2019 00:00:00,123830,8084
12/01/2018 00:00:00,61144,0
08/01/2018 00:00:00,193068,18682
06/01/2018 00:00:00,15000,0
05/01/2018 00:00:00,4500,0
03/01/2018 00:00:00,0,64516251
02/01/2018 00:00:00,88829,1319
01/01/2018 00:00:00,8075,0
12/01/2017 00:00:00,24135,0
11/01/2017 00:00:00,0,64516251
08/01/2017 00:00:00,154861,0
06/01/2017 00:00:00,0,4162984
