Date,TotalBuy,TotalSell
06/01/2023 00:00:00,14532,5636
05/01/2023 00:00:00,148136,292621
03/01/2023 00:00:00,389942,208465
12/01/2022 00:00:00,0,2368
10/01/2022 00:00:00,739,956
08/01/2022 00:00:00,5478,0
07/01/2022 00:00:00,2759,0
06/01/2022 00:00:00,13595,0
05/01/2022 00:00:00,131338,84999
04/01/2022 00:00:00,3963,5430
03/01/2022 00:00:00,447132,238906
02/01/2022 00:00:00,4297,6356
12/01/2021 00:00:00,74955,20000
08/01/2021 00:00:00,5637,8343
05/01/2021 00:00:00,115523,68315
04/01/2021 00:00:00,3964,3964
03/01/2021 00:00:00,334899,36237
02/01/2021 00:00:00,4297,5693
01/01/2021 00:00:00,7513,0
11/01/2020 00:00:00,6637,0
08/01/2020 00:00:00,9046,884
06/01/2020 00:00:00,10957,16087
05/01/2020 00:00:00,97829,75853
04/01/2020 00:00:00,3964,5325
03/01/2020 00:00:00,102779,89967
02/01/2020 00:00:00,4298,5640
12/01/2019 00:00:00,6169,10364
11/01/2019 00:00:00,0,4474
10/01/2019 00:00:00,48474,62471
08/01/2019 00:00:00,5741,826
07/01/2019 00:00:00,2296,3298
05/01/2019 00:00:00,88761,46586
04/01/2019 00:00:00,11891,0
03/01/2019 00:00:00,126374,0
02/01/2019 00:00:00,37623,19800
11/01/2018 00:00:00,32336,3053
10/01/2018 00:00:00,184550,0
08/01/2018 00:00:00,7200,0
07/01/2018 00:00:00,4594,1752
06/01/2018 00:00:00,100970,22812
05/01/2018 00:00:00,440703,0
04/01/2018 00:00:00,15850,0
03/01/2018 00:00:00,184986,3658
01/01/2018 00:00:00,5721,0
12/01/2017 00:00:00,7336,7435
11/01/2017 00:00:00,2804,4324
10/01/2017 00:00:00,1316,2134
09/01/2017 00:00:00,0,4375.73
08/01/2017 00:00:00,18594,15393
07/01/2017 00:00:00,10951,8761
06/01/2017 00:00:00,12828,1152
