Date,TotalBuy,TotalSell
05/01/2023 00:00:00,4474,34030
04/01/2023 00:00:00,25571,50000
03/01/2023 00:00:00,0,60861
02/01/2023 00:00:00,483036,278212
11/01/2022 00:00:00,15000,152401
09/01/2022 00:00:00,20350,0
05/01/2022 00:00:00,6108,49674
04/01/2022 00:00:00,53702,56251
03/01/2022 00:00:00,40000,133331
02/01/2022 00:00:00,436639,228632
11/01/2021 00:00:00,0,2033
09/01/2021 00:00:00,0,29521
08/01/2021 00:00:00,0,2037
05/01/2021 00:00:00,8303,2037
04/01/2021 00:00:00,59766,0
03/01/2021 00:00:00,0,12853
02/01/2021 00:00:00,233753,124571
01/01/2021 00:00:00,1779,3558
12/01/2020 00:00:00,18749,37498
11/01/2020 00:00:00,15564,31128
09/01/2020 00:00:00,4384,32231
08/01/2020 00:00:00,40000,17500
06/01/2020 00:00:00,13538,27076
05/01/2020 00:00:00,7077,18283
04/01/2020 00:00:00,97489,0
03/01/2020 00:00:00,0,18904
02/01/2020 00:00:00,241921,130757
01/01/2020 00:00:00,21959,43918
12/01/2019 00:00:00,6543,32414
11/01/2019 00:00:00,40000,80681
10/01/2019 00:00:00,0,7055
09/01/2019 00:00:00,187934,71054
07/01/2019 00:00:00,1149,35803
06/01/2019 00:00:00,0,750
05/01/2019 00:00:00,84936,2674
03/01/2019 00:00:00,0,43187
02/01/2019 00:00:00,230625,79139
12/01/2018 00:00:00,0,13717
11/01/2018 00:00:00,36150,6916
10/01/2018 00:00:00,84660,5896
08/01/2018 00:00:00,40000,0
07/01/2018 00:00:00,37227,0
06/01/2018 00:00:00,2297,4594
03/01/2018 00:00:00,0,1702
02/01/2018 00:00:00,752553,128372
01/01/2018 00:00:00,2940,17227
12/01/2017 00:00:00,2983,30110
11/01/2017 00:00:00,4601,13390
10/01/2017 00:00:00,85484,23883
09/01/2017 00:00:00,2941,8708
08/01/2017 00:00:00,200201,75615
07/01/2017 00:00:00,2940,13134
06/01/2017 00:00:00,45884,16394
05/01/2017 00:00:00,10329,3992
04/01/2017 00:00:00,5880,9686
03/01/2017 00:00:00,5884,3810
02/01/2017 00:00:00,0,8578
