Date,TotalBuy,TotalSell
06/01/2023 00:00:00,59136,91448
05/01/2023 00:00:00,962924,77409
02/01/2023 00:00:00,27542,65496
01/01/2023 00:00:00,6549,4691
12/01/2022 00:00:00,35000,108017
11/01/2022 00:00:00,54654,71060
09/01/2022 00:00:00,41984,35175
08/01/2022 00:00:00,20931,51940
07/01/2022 00:00:00,35175,0
06/01/2022 00:00:00,43390,15360
05/01/2022 00:00:00,204747,69161
04/01/2022 00:00:00,155756,0
03/01/2022 00:00:00,384773,95450
02/01/2022 00:00:00,75277,5115
01/01/2022 00:00:00,1517,1315
12/01/2021 00:00:00,24573,46392
11/01/2021 00:00:00,3693,64290
10/01/2021 00:00:00,35670,51697
09/01/2021 00:00:00,22165,46313
08/01/2021 00:00:00,25074,103966
07/01/2021 00:00:00,0,670
06/01/2021 00:00:00,13918,10246
05/01/2021 00:00:00,379751,91779
04/01/2021 00:00:00,57655,67010
03/01/2021 00:00:00,25276,54133
02/01/2021 00:00:00,7332,40893
01/01/2021 00:00:00,36190,74428
12/01/2020 00:00:00,268581,493531
11/01/2020 00:00:00,88120,245329
10/01/2020 00:00:00,46026,138835
09/01/2020 00:00:00,60873,151281
08/01/2020 00:00:00,50997,196654
07/01/2020 00:00:00,11250,25890
06/01/2020 00:00:00,21830,54339
05/01/2020 00:00:00,137714,351069
04/01/2020 00:00:00,240469,198423
03/01/2020 00:00:00,216876,368208
02/01/2020 00:00:00,300253,427457
01/01/2020 00:00:00,36840,54767
12/01/2019 00:00:00,392050,461354
11/01/2019 00:00:00,209464,421683
10/01/2019 00:00:00,235829,388459
09/01/2019 00:00:00,176952,305393
08/01/2019 00:00:00,182562,347777
07/01/2019 00:00:00,138050,234411
06/01/2019 00:00:00,185150,267608
05/01/2019 00:00:00,301789,477873
04/01/2019 00:00:00,329095,257505
03/01/2019 00:00:00,162050,259338
02/01/2019 00:00:00,217774,429660
01/01/2019 00:00:00,82889,136586
12/01/2018 00:00:00,117889,195089
11/01/2018 00:00:00,100737,218145
10/01/2018 00:00:00,82889,135273
09/01/2018 00:00:00,109871,177822
08/01/2018 00:00:00,143533,291275
07/01/2018 00:00:00,15600,24900
06/01/2018 00:00:00,79131,99067
05/01/2018 00:00:00,143989,288457
04/01/2018 00:00:00,246928,136065
03/01/2018 00:00:00,89712,136068
02/01/2018 00:00:00,109710,218799
01/01/2018 00:00:00,41600,63900
12/01/2017 00:00:00,112266,193232
11/01/2017 00:00:00,244253,495608
10/01/2017 00:00:00,140400,246500
09/01/2017 00:00:00,144600,244650
08/01/2017 00:00:00,264052,543722
07/01/2017 00:00:00,169000,197000
06/01/2017 00:00:00,179433,251000
05/01/2017 00:00:00,67000,127502
