Date,TotalBuy,TotalSell
05/01/2023 00:00:00,8000,1283
04/01/2023 00:00:00,2190,0
03/01/2023 00:00:00,2705,1000
02/01/2023 00:00:00,23368,7316
01/01/2023 00:00:00,3000,0
12/01/2022 00:00:00,9530,0
11/01/2022 00:00:00,4000,0
08/01/2022 00:00:00,0,1502
07/01/2022 00:00:00,0,119
06/01/2022 00:00:00,0,640
05/01/2022 00:00:00,4800,14679
02/01/2022 00:00:00,70772,24597
11/01/2021 00:00:00,0,3083
08/01/2021 00:00:00,0,3130
07/01/2021 00:00:00,0,118
06/01/2021 00:00:00,0,947
05/01/2021 00:00:00,7340,1451
04/01/2021 00:00:00,0,6700
03/01/2021 00:00:00,0,1400
02/01/2021 00:00:00,19800,18798
01/01/2021 00:00:00,265,6865
12/01/2020 00:00:00,1000,9021
11/01/2020 00:00:00,0,11038
09/01/2020 00:00:00,0,308
07/01/2020 00:00:00,0,119
06/01/2020 00:00:00,0,592
05/01/2020 00:00:00,9400,305.361
02/01/2020 00:00:00,69546,29079
12/01/2019 00:00:00,0,11
11/01/2019 00:00:00,0,60
09/01/2019 00:00:00,0,236
07/01/2019 00:00:00,920,485
06/01/2019 00:00:00,1540,600
05/01/2019 00:00:00,5950,13620
04/01/2019 00:00:00,0,4500
03/01/2019 00:00:00,0,2892
02/01/2019 00:00:00,111992,63841
01/01/2019 00:00:00,266,266
11/01/2018 00:00:00,400,131
09/01/2018 00:00:00,2400,11685
08/01/2018 00:00:00,0,6116
05/01/2018 00:00:00,8400,7952.298
04/01/2018 00:00:00,0,12325
03/01/2018 00:00:00,50390,34455
02/01/2018 00:00:00,17075,10916
11/01/2017 00:00:00,0,2647
10/01/2017 00:00:00,23200,46674
09/01/2017 00:00:00,0,5965
08/01/2017 00:00:00,850,11027
06/01/2017 00:00:00,0,1850
05/01/2017 00:00:00,8400,5426
04/01/2017 00:00:00,13800,32672
03/01/2017 00:00:00,0,10348
