Date,TotalBuy,TotalSell
06/01/2023 00:00:00,39208,76620
05/01/2023 00:00:00,2600,4014
04/01/2023 00:00:00,207,0
03/01/2023 00:00:00,5308,7283
02/01/2023 00:00:00,11101,19227
01/01/2023 00:00:00,309,0
12/01/2022 00:00:00,194318,66594
11/01/2022 00:00:00,1875,2481
10/01/2022 00:00:00,28315,428
07/01/2022 00:00:00,1470,2400
06/01/2022 00:00:00,12016,2904
05/01/2022 00:00:00,1110,0
04/01/2022 00:00:00,190,0
03/01/2022 00:00:00,5308,7178
02/01/2022 00:00:00,5642.183300000001,6737
01/01/2022 00:00:00,160,0
12/01/2021 00:00:00,155726,74708
11/01/2021 00:00:00,13027,14624
10/01/2021 00:00:00,40437,704
08/01/2021 00:00:00,5400,17003.67
07/01/2021 00:00:00,13590,29680
06/01/2021 00:00:00,12254,11387
05/01/2021 00:00:00,16400,31149
04/01/2021 00:00:00,11806,23200
03/01/2021 00:00:00,16025,200
02/01/2021 00:00:00,17525,3100
01/01/2021 00:00:00,27020,54655
12/01/2020 00:00:00,115273,29010
11/01/2020 00:00:00,50786,104347
10/01/2020 00:00:00,30302,0
08/01/2020 00:00:00,22733,43976
07/01/2020 00:00:00,5664,12745
06/01/2020 00:00:00,0,51
05/01/2020 00:00:00,45100,101291
04/01/2020 00:00:00,84,0
03/01/2020 00:00:00,0,58
02/01/2020 00:00:00,13816,29135
01/01/2020 00:00:00,131,895
12/01/2019 00:00:00,219042,24788
11/01/2019 00:00:00,69986,150720.8393
10/01/2019 00:00:00,23118,3400
08/01/2019 00:00:00,0,50
07/01/2019 00:00:00,166,3547
06/01/2019 00:00:00,396,263
05/01/2019 00:00:00,3800,3853
04/01/2019 00:00:00,151,0
02/01/2019 00:00:00,27780,60531
01/01/2019 00:00:00,14731,0
12/01/2018 00:00:00,281162,125892
11/01/2018 00:00:00,0,17792
10/01/2018 00:00:00,85274,0
08/01/2018 00:00:00,5800,10855
07/01/2018 00:00:00,9663,8542.9053
06/01/2018 00:00:00,17,0
05/01/2018 00:00:00,4900,10075
04/01/2018 00:00:00,322,0
02/01/2018 00:00:00,83076,169065
01/01/2018 00:00:00,57428,126469.0425
12/01/2017 00:00:00,259241,110573
11/01/2017 00:00:00,6230,2820
10/01/2017 00:00:00,85277,0
09/01/2017 00:00:00,7400,14800
08/01/2017 00:00:00,58633,129238
07/01/2017 00:00:00,10475,20275
05/01/2017 00:00:00,56400,132800
