Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,13096
05/01/2023 00:00:00,0,17982
04/01/2023 00:00:00,18936,40499
02/01/2023 00:00:00,169300,0
01/01/2023 00:00:00,0,115121
12/01/2022 00:00:00,0,253487
11/01/2022 00:00:00,0,15507871
10/01/2022 00:00:00,0,44000
09/01/2022 00:00:00,73186,0
08/01/2022 00:00:00,154104,10391120
04/01/2022 00:00:00,9394,0
01/01/2022 00:00:00,242000,117559
09/01/2021 00:00:00,54,0
08/01/2021 00:00:00,37,0
07/01/2021 00:00:00,1046,0
06/01/2021 00:00:00,2,0
02/01/2021 00:00:00,45,3132
01/01/2021 00:00:00,267500,97851
12/01/2020 00:00:00,1689776,0
11/01/2020 00:00:00,0,413
08/01/2020 00:00:00,466109472,798672245
06/01/2020 00:00:00,803143943,965859489
05/01/2020 00:00:00,236,478
02/01/2020 00:00:00,0,27354
01/01/2020 00:00:00,222505,95859
12/01/2019 00:00:00,6861,328083
11/01/2019 00:00:00,0,526
03/01/2019 00:00:00,0,30000
02/01/2019 00:00:00,0,1763
01/01/2019 00:00:00,191910,208655
12/01/2018 00:00:00,220209862,566101
06/01/2018 00:00:00,0,4993
02/01/2018 00:00:00,0,20911
01/01/2018 00:00:00,160000,50855
12/01/2017 00:00:00,2816,166382
11/01/2017 00:00:00,0,184400
08/01/2017 00:00:00,0,12876
05/01/2017 00:00:00,0,6000
02/01/2017 00:00:00,0,730
01/01/2017 00:00:00,168300,58253
12/01/2016 00:00:00,903,2348
11/01/2016 00:00:00,0,455
09/01/2016 00:00:00,0,16.9572
06/01/2016 00:00:00,0,5000
05/01/2016 00:00:00,0,6157
03/01/2016 00:00:00,1040,5912
01/01/2016 00:00:00,166000,80533
