Date,TotalBuy,TotalSell
06/01/2023 00:00:00,1914,1914
05/01/2023 00:00:00,17055,43454
04/01/2023 00:00:00,0,12221
03/01/2023 00:00:00,70618,107575
10/01/2022 00:00:00,3315,3793
09/01/2022 00:00:00,0,7278
07/01/2022 00:00:00,19236,0
06/01/2022 00:00:00,1014,2014
05/01/2022 00:00:00,18741,1886
03/01/2022 00:00:00,219195,95526
02/01/2022 00:00:00,32475,0
10/01/2021 00:00:00,38258,0
09/01/2021 00:00:00,0,8250
07/01/2021 00:00:00,0,63
05/01/2021 00:00:00,13844,52030
04/01/2021 00:00:00,0,11265
03/01/2021 00:00:00,244192,327006
12/01/2020 00:00:00,166823,111500
09/01/2020 00:00:00,0,5093
08/01/2020 00:00:00,141380,55079
05/01/2020 00:00:00,16201,3874
03/01/2020 00:00:00,101262,114706
12/01/2019 00:00:00,13114,0
09/01/2019 00:00:00,280,65622
08/01/2019 00:00:00,55245,0
07/01/2019 00:00:00,0,115238
06/01/2019 00:00:00,66,110066
05/01/2019 00:00:00,16082,81049
04/01/2019 00:00:00,0,78414
03/01/2019 00:00:00,394664,344033
12/01/2018 00:00:00,63,63
10/01/2018 00:00:00,0,20500
09/01/2018 00:00:00,73,73
08/01/2018 00:00:00,0,11017
06/01/2018 00:00:00,14891,264791
05/01/2018 00:00:00,34315,44168
04/01/2018 00:00:00,0,59901
03/01/2018 00:00:00,511573,548102
12/01/2017 00:00:00,96,96
10/01/2017 00:00:00,0,6157
09/01/2017 00:00:00,107,23378
06/01/2017 00:00:00,14069,64133
05/01/2017 00:00:00,54256,55541
04/01/2017 00:00:00,0,3004
03/01/2017 00:00:00,16283,111461
