Date,TotalBuy,TotalSell
06/01/2023 00:00:00,292139,192221
05/01/2023 00:00:00,690269,1790269
03/01/2023 00:00:00,2098,252729
02/01/2023 00:00:00,1570000,205333
12/01/2022 00:00:00,1886,467058
11/01/2022 00:00:00,0,240000
09/01/2022 00:00:00,1826,3697506
08/01/2022 00:00:00,0,257277
07/01/2022 00:00:00,2346,102480
06/01/2022 00:00:00,46102,153333
05/01/2022 00:00:00,70000,530333
04/01/2022 00:00:00,0,812031
03/01/2022 00:00:00,70892,2065577
02/01/2022 00:00:00,32500,0
12/01/2021 00:00:00,47266,1450000
11/01/2021 00:00:00,66012,2325740
09/01/2021 00:00:00,18258,1078954
07/01/2021 00:00:00,0,233949
06/01/2021 00:00:00,389677,1997612
05/01/2021 00:00:00,9606310,962631
04/01/2021 00:00:00,0,126344
03/01/2021 00:00:00,33591,555615
02/01/2021 00:00:00,25700,0
12/01/2020 00:00:00,1301640,7473151
10/01/2020 00:00:00,1516332,1116591
09/01/2020 00:00:00,2433,0
08/01/2020 00:00:00,14560,0
06/01/2020 00:00:00,131718037,11251590
12/01/2002 00:00:00,0,40010
