Date,TotalBuy,TotalSell
06/01/2023 00:00:00,433904,467854
05/01/2023 00:00:00,50859,359146
03/01/2023 00:00:00,142978,3000
02/01/2023 00:00:00,1063521,0
01/01/2023 00:00:00,3158,0
08/01/2022 00:00:00,0,11834
06/01/2022 00:00:00,302121,302121
05/01/2022 00:00:00,46709,457832
04/01/2022 00:00:00,0,10000
03/01/2022 00:00:00,529540,55000
02/01/2022 00:00:00,315937,0
12/01/2021 00:00:00,89121,89121
11/01/2021 00:00:00,0,12453
10/01/2021 00:00:00,0,5761
09/01/2021 00:00:00,0,70000
07/01/2021 00:00:00,0,6666
06/01/2021 00:00:00,219878,219878
05/01/2021 00:00:00,97209,321959
03/01/2021 00:00:00,269632,0
02/01/2021 00:00:00,644235,0
12/01/2020 00:00:00,3896,0
09/01/2020 00:00:00,3523,0
06/01/2020 00:00:00,151554,147577
05/01/2020 00:00:00,320410,0
04/01/2020 00:00:00,8400,0
03/01/2020 00:00:00,1050390,0
02/01/2020 00:00:00,1842481,0
12/01/2019 00:00:00,36097,1438
09/01/2019 00:00:00,5692,0
08/01/2019 00:00:00,83522.1966,31793
07/01/2019 00:00:00,25733,8969
06/01/2019 00:00:00,60944,58211
05/01/2019 00:00:00,228416,0
04/01/2019 00:00:00,11100,0
03/01/2019 00:00:00,495328,0
02/01/2019 00:00:00,1005,0
01/01/2019 00:00:00,420,420
12/01/2018 00:00:00,960,0
10/01/2018 00:00:00,7804,0
09/01/2018 00:00:00,1092,0
07/01/2018 00:00:00,35508,41074
06/01/2018 00:00:00,61722,6358
05/01/2018 00:00:00,130977,0
04/01/2018 00:00:00,7819,7819
03/01/2018 00:00:00,362720,0
01/01/2018 00:00:00,80976,46976
12/01/2017 00:00:00,0,48574
10/01/2017 00:00:00,1247,1247
08/01/2017 00:00:00,26000,0
07/01/2017 00:00:00,2934,2934
06/01/2017 00:00:00,45958,49735
05/01/2017 00:00:00,513846,28744
03/01/2017 00:00:00,4000,0
