Date,TotalBuy,TotalSell
06/01/2023 00:00:00,2500,44480
05/01/2023 00:00:00,58269,137465
04/01/2023 00:00:00,0,3201
03/01/2023 00:00:00,13771,151489
02/01/2023 00:00:00,0,8052
01/01/2023 00:00:00,137464,4701
12/01/2022 00:00:00,1855,4473
10/01/2022 00:00:00,0,49274
09/01/2022 00:00:00,312743,11000
06/01/2022 00:00:00,2965,0
05/01/2022 00:00:00,197106,0
03/01/2022 00:00:00,0,16835
02/01/2022 00:00:00,649298,10406
12/01/2021 00:00:00,36804,2069
11/01/2021 00:00:00,75920,0
10/01/2021 00:00:00,0,42096
09/01/2021 00:00:00,0,1675
08/01/2021 00:00:00,0,14313
07/01/2021 00:00:00,0,109714
06/01/2021 00:00:00,2210,0
05/01/2021 00:00:00,61704,0
04/01/2021 00:00:00,0,413
03/01/2021 00:00:00,35280,37354
02/01/2021 00:00:00,392808,43034
12/01/2020 00:00:00,841,35237
11/01/2020 00:00:00,0,33119
10/01/2020 00:00:00,0,99225
09/01/2020 00:00:00,364000,199503
07/01/2020 00:00:00,1703631,0
06/01/2020 00:00:00,1763,0
05/01/2020 00:00:00,126000,0
04/01/2020 00:00:00,0,432
03/01/2020 00:00:00,0,1354
02/01/2020 00:00:00,195000,5053
01/01/2020 00:00:00,605500,4441
12/01/2019 00:00:00,1268,5103
10/01/2019 00:00:00,940000,0
07/01/2019 00:00:00,27000,0
06/01/2019 00:00:00,29923,1383
05/01/2019 00:00:00,81000,0
03/01/2019 00:00:00,666,20686
02/01/2019 00:00:00,0,10110
01/01/2019 00:00:00,447525,6091
12/01/2018 00:00:00,1193,4260
11/01/2018 00:00:00,120188,5126
10/01/2018 00:00:00,0,7093
07/01/2018 00:00:00,0,393
06/01/2018 00:00:00,10811,0
05/01/2018 00:00:00,180000,2874
03/01/2018 00:00:00,126216,113065
02/01/2018 00:00:00,393625,5719
01/01/2018 00:00:00,0,5317
12/01/2017 00:00:00,18076,20735
11/01/2017 00:00:00,30000,27600
10/01/2017 00:00:00,0,18826
09/01/2017 00:00:00,148000,7600
08/01/2017 00:00:00,331,23131
06/01/2017 00:00:00,9904,8300
05/01/2017 00:00:00,82000,61793
03/01/2017 00:00:00,0,4440
02/01/2017 00:00:00,0,11037
01/01/2017 00:00:00,250800,1063
