Date,TotalBuy,TotalSell
06/01/2023 00:00:00,79674,0
05/01/2023 00:00:00,25838,0
03/01/2023 00:00:00,14894,5151
02/01/2023 00:00:00,23839,0
01/01/2023 00:00:00,157700,115526
12/01/2022 00:00:00,208664,0
11/01/2022 00:00:00,17933,0
09/01/2022 00:00:00,0,2600
08/01/2022 00:00:00,16063,0
06/01/2022 00:00:00,61257,0
05/01/2022 00:00:00,14975,0
02/01/2022 00:00:00,52469,12159
01/01/2022 00:00:00,218204,377974
12/01/2021 00:00:00,169966,111325
11/01/2021 00:00:00,29968,0
08/01/2021 00:00:00,23775,0
06/01/2021 00:00:00,64380,0
05/01/2021 00:00:00,22886,0
03/01/2021 00:00:00,1000,6000
02/01/2021 00:00:00,59768,17366
01/01/2021 00:00:00,515639,134520
12/01/2020 00:00:00,142752,0
11/01/2020 00:00:00,14042,0
08/01/2020 00:00:00,15796,0
06/01/2020 00:00:00,56440,6000
05/01/2020 00:00:00,15794,0
03/01/2020 00:00:00,12875,10545
02/01/2020 00:00:00,243013,209644
01/01/2020 00:00:00,89171,61895
12/01/2019 00:00:00,104060,0
11/01/2019 00:00:00,12244,114000
09/01/2019 00:00:00,2176,0
08/01/2019 00:00:00,12364,73000
06/01/2019 00:00:00,49546,0
05/01/2019 00:00:00,12466,0
03/01/2019 00:00:00,4653,0
02/01/2019 00:00:00,226010,80792
01/01/2019 00:00:00,8661,17349
12/01/2018 00:00:00,132884,11426
11/01/2018 00:00:00,8631,1000
10/01/2018 00:00:00,0,2325
09/01/2018 00:00:00,1675,0
08/01/2018 00:00:00,6918,0
06/01/2018 00:00:00,36208,0
05/01/2018 00:00:00,6980,0
03/01/2018 00:00:00,20059,9188
02/01/2018 00:00:00,16888,15248
12/01/2017 00:00:00,136579,22347
11/01/2017 00:00:00,6318,4615
09/01/2017 00:00:00,1765,1566
08/01/2017 00:00:00,1596715,75717
06/01/2017 00:00:00,18975,1100
05/01/2017 00:00:00,4864,0
03/01/2017 00:00:00,255943,144450
02/01/2017 00:00:00,4024,0
12/01/2016 00:00:00,80038,24616
11/01/2016 00:00:00,4232,0
09/01/2016 00:00:00,1439,0
08/01/2016 00:00:00,3606,0
07/01/2016 00:00:00,0,1600
06/01/2016 00:00:00,21359,2000
05/01/2016 00:00:00,888,0
