Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,502
05/01/2023 00:00:00,42681,0
04/01/2023 00:00:00,32018,0
03/01/2023 00:00:00,32330,34937
02/01/2023 00:00:00,450576,271150
01/01/2023 00:00:00,0,5070
11/01/2022 00:00:00,2700,0
09/01/2022 00:00:00,0,15554
08/01/2022 00:00:00,7000,332
07/01/2022 00:00:00,3766,500
06/01/2022 00:00:00,0,504
05/01/2022 00:00:00,19539,0
03/01/2022 00:00:00,38105,29255
02/01/2022 00:00:00,220843,105719
01/01/2022 00:00:00,0,7244
07/01/2021 00:00:00,3382,0
05/01/2021 00:00:00,25472,0
03/01/2021 00:00:00,72043,18076
02/01/2021 00:00:00,143189,61539
01/01/2021 00:00:00,33334,2224
12/01/2020 00:00:00,35000,18786
11/01/2020 00:00:00,0,39250
10/01/2020 00:00:00,0,9239
09/01/2020 00:00:00,0,9239
08/01/2020 00:00:00,0,74919
07/01/2020 00:00:00,2861,0
05/01/2020 00:00:00,39003,0
03/01/2020 00:00:00,102331,2925
02/01/2020 00:00:00,157996,51953
12/01/2019 00:00:00,0,9239
11/01/2019 00:00:00,10000,0
06/01/2019 00:00:00,12028,171
05/01/2019 00:00:00,30541,0
03/01/2019 00:00:00,42556,978
02/01/2019 00:00:00,74503,7384
01/01/2019 00:00:00,1225,0
12/01/2018 00:00:00,12500,0
08/01/2018 00:00:00,6600,0
06/01/2018 00:00:00,1731,3000
05/01/2018 00:00:00,24196,17000
03/01/2018 00:00:00,8443,2091
02/01/2018 00:00:00,157392,27898
12/01/2017 00:00:00,0,38661
11/01/2017 00:00:00,0,6114
10/01/2017 00:00:00,12000,1893
09/01/2017 00:00:00,30000,3500
05/01/2017 00:00:00,40009,3000
04/01/2017 00:00:00,96561,96561
03/01/2017 00:00:00,944416,955570
02/01/2017 00:00:00,752554,339780
12/01/2016 00:00:00,0,300
10/01/2016 00:00:00,251145,155348
08/01/2016 00:00:00,0,706
07/01/2016 00:00:00,0,8896
05/01/2016 00:00:00,28657,2000
03/01/2016 00:00:00,188277,53492
