Date,TotalBuy,TotalSell
05/01/2023 00:00:00,147071,38416
04/01/2023 00:00:00,27443,30895
02/01/2023 00:00:00,58206,100233
01/01/2023 00:00:00,173173,28132
12/01/2022 00:00:00,36608,52668
11/01/2022 00:00:00,0,64950
10/01/2022 00:00:00,13587,13823
08/01/2022 00:00:00,0,14669
07/01/2022 00:00:00,12784,28115
05/01/2022 00:00:00,88200,41164
04/01/2022 00:00:00,24760,33351
03/01/2022 00:00:00,0,897
02/01/2022 00:00:00,114036,53565
01/01/2022 00:00:00,110460,148978
12/01/2021 00:00:00,36356,50044
11/01/2021 00:00:00,0,5785
10/01/2021 00:00:00,8717,8717
07/01/2021 00:00:00,10794,11647
05/01/2021 00:00:00,36900,7380
04/01/2021 00:00:00,91845,1337
03/01/2021 00:00:00,0,846
02/01/2021 00:00:00,111302,202197
01/01/2021 00:00:00,53399,62543
12/01/2020 00:00:00,33846,47835
10/01/2020 00:00:00,14859,18253
09/01/2020 00:00:00,0,313
08/01/2020 00:00:00,20000,10000
07/01/2020 00:00:00,21857,11857
05/01/2020 00:00:00,74012,10794
04/01/2020 00:00:00,19049,1049
03/01/2020 00:00:00,34371,49931
02/01/2020 00:00:00,68547,25028
01/01/2020 00:00:00,92859,123889
12/01/2019 00:00:00,107189,8982
11/01/2019 00:00:00,0,1013
10/01/2019 00:00:00,18830,8830
09/01/2019 00:00:00,0,938
08/01/2019 00:00:00,24376,0
07/01/2019 00:00:00,8843,8843
05/01/2019 00:00:00,34818,6958
04/01/2019 00:00:00,8872,1872
02/01/2019 00:00:00,157344,1922
01/01/2019 00:00:00,136029,86722
12/01/2018 00:00:00,0,1072
11/01/2018 00:00:00,1500,0
10/01/2018 00:00:00,6514,8245
09/01/2018 00:00:00,0,938
08/01/2018 00:00:00,0,2928
07/01/2018 00:00:00,6515,8587
06/01/2018 00:00:00,5334,7001
05/01/2018 00:00:00,28700,125740
04/01/2018 00:00:00,19335,213706
03/01/2018 00:00:00,0,1945
02/01/2018 00:00:00,5166,36858
01/01/2018 00:00:00,139810,75992
12/01/2017 00:00:00,52416,308852
11/01/2017 00:00:00,1900,111228
10/01/2017 00:00:00,46884,1569
09/01/2017 00:00:00,0,163446
08/01/2017 00:00:00,2755,1955
07/01/2017 00:00:00,1640,1353
06/01/2017 00:00:00,2666,39026
