Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,7279
05/01/2023 00:00:00,73364,0
04/01/2023 00:00:00,0,1415
03/01/2023 00:00:00,29046219,82698493
02/01/2023 00:00:00,0,46645
01/01/2023 00:00:00,74256,48150
12/01/2022 00:00:00,21896062,71713477
11/01/2022 00:00:00,0,91727
10/01/2022 00:00:00,50241,0
09/01/2022 00:00:00,0,30881
08/01/2022 00:00:00,21597,137039
06/01/2022 00:00:00,5500,0
05/01/2022 00:00:00,88928,4940
04/01/2022 00:00:00,156590,0
03/01/2022 00:00:00,0,103715
02/01/2022 00:00:00,26932,5598
01/01/2022 00:00:00,62500,3086
12/01/2021 00:00:00,6942954,14174544
11/01/2021 00:00:00,130701,0
08/01/2021 00:00:00,43189.389,0
07/01/2021 00:00:00,0,22190578
01/01/2021 00:00:00,227393879,87473479
