Date,TotalBuy,TotalSell
06/01/2023 00:00:00,21214,5000
05/01/2023 00:00:00,35262,3624
03/01/2023 00:00:00,100894,119270
02/01/2023 00:00:00,4808,13250
01/01/2023 00:00:00,35177,6137
12/01/2022 00:00:00,0,18008
11/01/2022 00:00:00,0,219
08/01/2022 00:00:00,0,361
06/01/2022 00:00:00,0,2222
05/01/2022 00:00:00,29997,3623
04/01/2022 00:00:00,0,3318
03/01/2022 00:00:00,104409,94984
02/01/2022 00:00:00,61424,8856
01/01/2022 00:00:00,0,6187
12/01/2021 00:00:00,75317,12254
11/01/2021 00:00:00,309892,390623
08/01/2021 00:00:00,0,7802
05/01/2021 00:00:00,20223,75330
04/01/2021 00:00:00,0,3194
03/01/2021 00:00:00,93775,93961
02/01/2021 00:00:00,8912,6923
01/01/2021 00:00:00,29155,3675
12/01/2020 00:00:00,0,24350
11/01/2020 00:00:00,0,206
07/01/2020 00:00:00,29715,0
05/01/2020 00:00:00,32758,125
04/01/2020 00:00:00,0,3194
03/01/2020 00:00:00,108030,59573
02/01/2020 00:00:00,0,6759
01/01/2020 00:00:00,61794,0
12/01/2019 00:00:00,0,37681
11/01/2019 00:00:00,75000,254436
09/01/2019 00:00:00,0,10500
06/01/2019 00:00:00,27755,4309
05/01/2019 00:00:00,0,14027
04/01/2019 00:00:00,0,2293
03/01/2019 00:00:00,111382,48553
02/01/2019 00:00:00,87500,1636
01/01/2019 00:00:00,15000,0
12/01/2018 00:00:00,87500,23950
11/01/2018 00:00:00,0,4000
09/01/2018 00:00:00,0,10500
08/01/2018 00:00:00,0,4925
06/01/2018 00:00:00,0,1613
05/01/2018 00:00:00,128336.262,215200
04/01/2018 00:00:00,0,4000
03/01/2018 00:00:00,80551,60816
12/01/2017 00:00:00,0,32119
11/01/2017 00:00:00,168750,315592
06/01/2017 00:00:00,15522,63407
05/01/2017 00:00:00,60000,120000
04/01/2017 00:00:00,20000,2454
03/01/2017 00:00:00,55187,66439
01/01/2017 00:00:00,128169,1281
12/01/2016 00:00:00,27500,84598
11/01/2016 00:00:00,107501,260524
08/01/2016 00:00:00,61503,61527
