Date,TotalBuy,TotalSell
06/01/2023 00:00:00,19152,3608
05/01/2023 00:00:00,0,45742
04/01/2023 00:00:00,0,7605
03/01/2023 00:00:00,0,353815
02/01/2023 00:00:00,112746,66053
01/01/2023 00:00:00,0,5260
12/01/2022 00:00:00,0,13611
11/01/2022 00:00:00,0,54298
09/01/2022 00:00:00,0,1540
08/01/2022 00:00:00,5718,52503
07/01/2022 00:00:00,0,5000
06/01/2022 00:00:00,6370,10898
05/01/2022 00:00:00,9674,60407
04/01/2022 00:00:00,0,5000
03/01/2022 00:00:00,0,17041
02/01/2022 00:00:00,228584,43961
01/01/2022 00:00:00,0,5250
12/01/2021 00:00:00,54654,38821
11/01/2021 00:00:00,27107,1100289
10/01/2021 00:00:00,0,5376
09/01/2021 00:00:00,0,25150
08/01/2021 00:00:00,3865,62014
07/01/2021 00:00:00,8594,5457
06/01/2021 00:00:00,11688,14243
05/01/2021 00:00:00,0,72212
04/01/2021 00:00:00,2493,3150
03/01/2021 00:00:00,0,4290
02/01/2021 00:00:00,0,1546079
01/01/2021 00:00:00,7513,3150
12/01/2020 00:00:00,124104,31871
11/01/2020 00:00:00,0,70636
10/01/2020 00:00:00,0,30000
09/01/2020 00:00:00,0,89254
08/01/2020 00:00:00,0,72521
07/01/2020 00:00:00,75867,0
06/01/2020 00:00:00,110000,2512160
05/01/2020 00:00:00,0,27578
02/01/2020 00:00:00,0,20171
01/01/2020 00:00:00,13779,0
11/01/2019 00:00:00,1416342,0
02/01/2013 00:00:00,619,0
