Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,303310
05/01/2023 00:00:00,787.82,5000
04/01/2023 00:00:00,0,61632
03/01/2023 00:00:00,670200,0
02/01/2023 00:00:00,604074.3,896023
12/01/2022 00:00:00,0,8718
11/01/2022 00:00:00,379522.92,124913
08/01/2022 00:00:00,1192.48,0
07/01/2022 00:00:00,0,23313
06/01/2022 00:00:00,0,2600
05/01/2022 00:00:00,1220.56,15000
04/01/2022 00:00:00,0,62007
03/01/2022 00:00:00,0,2000
02/01/2022 00:00:00,837275.94,156599
12/01/2021 00:00:00,64900,0
11/01/2021 00:00:00,1057.21,39467
09/01/2021 00:00:00,0,6500
08/01/2021 00:00:00,1216.37,15500
06/01/2021 00:00:00,0,700
05/01/2021 00:00:00,1331.45,0
03/01/2021 00:00:00,0,15887
02/01/2021 00:00:00,933430.49,107254
12/01/2020 00:00:00,0,2463
11/01/2020 00:00:00,2597.8,0
08/01/2020 00:00:00,268767.72,0
05/01/2020 00:00:00,2710.46,0
04/01/2020 00:00:00,1594788,0
03/01/2020 00:00:00,0,12500
02/01/2020 00:00:00,868175.66,41544
12/01/2019 00:00:00,0,100100
11/01/2019 00:00:00,1314.16,0
08/01/2019 00:00:00,28435.81,0
05/01/2019 00:00:00,1146.79,33972
02/01/2019 00:00:00,700727.77,62393
12/01/2018 00:00:00,0,689
11/01/2018 00:00:00,5907.34,55806
08/01/2018 00:00:00,885.79,20120
05/01/2018 00:00:00,1163.08,6757
02/01/2018 00:00:00,689006.32,69593
01/01/2018 00:00:00,0,17149
12/01/2017 00:00:00,0,32348
11/01/2017 00:00:00,657.36,2250
08/01/2017 00:00:00,937.25,12534
05/01/2017 00:00:00,895.21,40930
04/01/2017 00:00:00,0,10409
03/01/2017 00:00:00,0,5245
02/01/2017 00:00:00,436186.29000000004,60001
