Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,6250
05/01/2023 00:00:00,53193,16534
04/01/2023 00:00:00,3804,6250
03/01/2023 00:00:00,139005,99540
01/01/2023 00:00:00,1472863,810053
12/01/2022 00:00:00,34603,58713
11/01/2022 00:00:00,15486,142682
10/01/2022 00:00:00,41250,59151
05/01/2022 00:00:00,54672,47156
04/01/2022 00:00:00,91603,118594
03/01/2022 00:00:00,88962,66367
02/01/2022 00:00:00,0,47615
01/01/2022 00:00:00,2330960,810010
12/01/2021 00:00:00,41993,56320
08/01/2021 00:00:00,5983,0
07/01/2021 00:00:00,711,0
05/01/2021 00:00:00,94149,74632
04/01/2021 00:00:00,4805,0
03/01/2021 00:00:00,27381,49958
02/01/2021 00:00:00,0,10000
01/01/2021 00:00:00,653315,141638
12/01/2020 00:00:00,103810,34061
11/01/2020 00:00:00,0,2981
10/01/2020 00:00:00,180080,224645
09/01/2020 00:00:00,25000,0
08/01/2020 00:00:00,15000,0
07/01/2020 00:00:00,1300,1300
05/01/2020 00:00:00,96313,84290
04/01/2020 00:00:00,43196,30795
03/01/2020 00:00:00,12000,0
02/01/2020 00:00:00,1000,0
01/01/2020 00:00:00,916487,285980
12/01/2019 00:00:00,0,52486
11/01/2019 00:00:00,0,99735
10/01/2019 00:00:00,57500,11218
08/01/2019 00:00:00,1937,0
07/01/2019 00:00:00,110000,175400
05/01/2019 00:00:00,40068,4452
04/01/2019 00:00:00,175341,136775
03/01/2019 00:00:00,57577,13714
01/01/2019 00:00:00,1481700,998026
12/01/2018 00:00:00,13000,3000
10/01/2018 00:00:00,0,30000
09/01/2018 00:00:00,13286,35286
08/01/2018 00:00:00,125000,125000
05/01/2018 00:00:00,27939,8771
03/01/2018 00:00:00,18000,0
01/01/2018 00:00:00,25000,125000
12/01/2017 00:00:00,8000,14841
10/01/2017 00:00:00,321000,19391
08/01/2017 00:00:00,8000,0
07/01/2017 00:00:00,12800,10000
06/01/2017 00:00:00,40000,85000
05/01/2017 00:00:00,28375,2250
04/01/2017 00:00:00,18500,3500
03/01/2017 00:00:00,0,5000
01/01/2017 00:00:00,100000,100000
