Date,TotalBuy,TotalSell
06/01/2023 00:00:00,97331,1572664
05/01/2023 00:00:00,162330,355923
04/01/2023 00:00:00,22928,18617
03/01/2023 00:00:00,103111,236195
02/01/2023 00:00:00,136900,1520405
01/01/2023 00:00:00,4550722,451
12/01/2022 00:00:00,97133,244217
11/01/2022 00:00:00,469379,281107
10/01/2022 00:00:00,0,1482759
09/01/2022 00:00:00,0,70469
08/01/2022 00:00:00,1914428,326317
07/01/2022 00:00:00,191824,1238432
06/01/2022 00:00:00,0,82467
05/01/2022 00:00:00,473209,382517
04/01/2022 00:00:00,0,1566775
03/01/2022 00:00:00,0,100040
02/01/2022 00:00:00,617308,1320811
01/01/2022 00:00:00,19455,119828
12/01/2021 00:00:00,0,107588
11/01/2021 00:00:00,87726,263809
10/01/2021 00:00:00,19890,1683939
09/01/2021 00:00:00,0,802628
08/01/2021 00:00:00,132779,2301076
07/01/2021 00:00:00,74129,4082906
06/01/2021 00:00:00,0,5221711
05/01/2021 00:00:00,159673,374204
04/01/2021 00:00:00,20365,1671198
03/01/2021 00:00:00,0,2525205
02/01/2021 00:00:00,576789,400170
01/01/2021 00:00:00,241161,413321
12/01/2020 00:00:00,4723,160947
11/01/2020 00:00:00,121790,523187
10/01/2020 00:00:00,1517442,4258750
09/01/2020 00:00:00,11883366,21094789
08/01/2020 00:00:00,384223,1697056
07/01/2020 00:00:00,403539,458246
06/01/2020 00:00:00,2910568,7177457
05/01/2020 00:00:00,21385,5194244
04/01/2020 00:00:00,0,164428
03/01/2020 00:00:00,5471042,10362376
02/01/2020 00:00:00,2776385,1475191
01/01/2020 00:00:00,0,2992065
12/01/2019 00:00:00,3075424,5043983
11/01/2019 00:00:00,0,1274021
10/01/2019 00:00:00,698913,1569227
09/01/2019 00:00:00,3215990,7777079
08/01/2019 00:00:00,0,376345
07/01/2019 00:00:00,180173,4220717
06/01/2019 00:00:00,2986360,5133375
05/01/2019 00:00:00,1000000,1032245
04/01/2019 00:00:00,0,310288
03/01/2019 00:00:00,2890214,8757581
02/01/2019 00:00:00,6400,444246
01/01/2019 00:00:00,6309,98710
12/01/2018 00:00:00,1529712,7524538
11/01/2018 00:00:00,6202697,1308896
10/01/2018 00:00:00,0,334456
09/01/2018 00:00:00,3041280,4975043
08/01/2018 00:00:00,673940,2661876
07/01/2018 00:00:00,0,144187
06/01/2018 00:00:00,2930342,4495513
05/01/2018 00:00:00,2232292,1347479
04/01/2018 00:00:00,0,144935
03/01/2018 00:00:00,3002600,4667017
02/01/2018 00:00:00,1389815,5248299
01/01/2018 00:00:00,0,125000
12/01/2017 00:00:00,245150,4631142
11/01/2017 00:00:00,5737506,8981535
10/01/2017 00:00:00,400000,1000000
09/01/2017 00:00:00,2141586,1895726
08/01/2017 00:00:00,1080374,3405358
07/01/2017 00:00:00,1803160,3586928
05/01/2017 00:00:00,2320132,0
03/01/2017 00:00:00,358093022,338921098
01/01/2017 00:00:00,0,22881
